Process ID: [1777320] | Arguments:
    all_files: True
    file: Bio-Medical
    model: chatgpt
    temperature: 1.0
    top_p: 0.8
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./annotation/query/
    save_dir: ./decoding-strategy_data/chatgpt_top-p_8/
    load_in_4bit: False
    load_in_8bit: False
Process ID: [1777320] | Device: cuda:0
Process ID: [1777320] | Loading data from ./annotation/query/Bio-Medical.json | Total 200

  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [1777320] | Model: chatgpt | File: Bio-Medical | Saving 0 items to ./decoding-strategy_data/chatgpt_top-p_8/Bio-Medical.json

  0%|▎                                                              | 1/200 [00:05<17:48,  5.37s/it]
  1%|▋                                                              | 2/200 [00:15<26:35,  8.06s/it]
  2%|▉                                                              | 3/200 [00:29<35:45, 10.89s/it]
  2%|█▎                                                             | 4/200 [00:38<33:07, 10.14s/it]
  2%|█▌                                                             | 5/200 [00:51<35:53, 11.04s/it]
  3%|█▉                                                             | 6/200 [01:02<36:16, 11.22s/it]
  4%|██▏                                                            | 7/200 [01:10<32:36, 10.14s/it]
  4%|██▌                                                            | 8/200 [01:17<29:01,  9.07s/it]
  4%|██▊                                                            | 9/200 [01:28<30:37,  9.62s/it]
  5%|███                                                           | 10/200 [01:39<31:46, 10.03s/it]
  6%|███▍                                                          | 11/200 [01:52<35:02, 11.13s/it]
  6%|███▋                                                          | 12/200 [02:03<34:39, 11.06s/it]
  6%|████                                                          | 13/200 [02:13<33:25, 10.73s/it]
 22%|█████████████▎                                                | 43/200 [08:10<26:24, 10.09s/it]
 22%|█████████████▋                                                | 44/200 [08:20<26:32, 10.21s/it]
 22%|█████████████▉                                                | 45/200 [08:31<26:31, 10.27s/it]
 23%|██████████████▎                                               | 46/200 [08:44<28:38, 11.16s/it]
 24%|██████████████▌                                               | 47/200 [08:55<28:15, 11.08s/it]
 24%|██████████████▉                                               | 48/200 [09:05<27:47, 10.97s/it]
 24%|███████████████▏                                              | 49/200 [09:22<31:32, 12.53s/it]
 25%|███████████████▌                                              | 50/200 [09:28<26:42, 10.68s/it]
 26%|███████████████▊                                              | 51/200 [09:42<28:46, 11.59s/it]
 26%|████████████████                                              | 52/200 [09:52<27:21, 11.09s/it]FunctionTimedOut
Retrying...

 26%|████████████████▍                                             | 53/200 [10:26<44:23, 18.12s/it]
 27%|████████████████▋                                             | 54/200 [10:46<45:16, 18.61s/it]
 28%|█████████████████                                             | 55/200 [11:00<41:56, 17.36s/it]
 28%|█████████████████▎                                            | 56/200 [11:11<37:04, 15.45s/it]
 28%|█████████████████▋                                            | 57/200 [11:20<31:52, 13.37s/it]
 29%|█████████████████▉                                            | 58/200 [11:39<35:58, 15.20s/it]
 30%|██████████████████▎                                           | 59/200 [11:51<33:28, 14.24s/it]
 30%|██████████████████▌                                           | 60/200 [12:06<33:13, 14.24s/it]
 30%|██████████████████▉                                           | 61/200 [12:16<30:10, 13.03s/it]
 31%|███████████████████▏                                          | 62/200 [12:28<29:41, 12.91s/it]
 32%|███████████████████▌                                          | 63/200 [12:36<26:10, 11.47s/it]
 32%|███████████████████▊                                          | 64/200 [12:45<23:42, 10.46s/it]
 32%|████████████████████▏                                         | 65/200 [12:56<24:23, 10.84s/it]
 33%|████████████████████▍                                         | 66/200 [13:12<27:40, 12.39s/it]
 34%|████████████████████▊                                         | 67/200 [13:24<27:11, 12.27s/it]
 34%|█████████████████████                                         | 68/200 [13:36<26:25, 12.01s/it]
 34%|█████████████████████▍                                        | 69/200 [13:49<26:44, 12.25s/it]
 35%|█████████████████████▋                                        | 70/200 [14:01<26:59, 12.46s/it]
 36%|██████████████████████                                        | 71/200 [14:13<26:20, 12.25s/it]
 36%|██████████████████████▎                                       | 72/200 [14:24<24:55, 11.69s/it]
 36%|██████████████████████▋                                       | 73/200 [14:34<23:54, 11.30s/it]
 37%|██████████████████████▉                                       | 74/200 [14:46<24:22, 11.61s/it]
 38%|███████████████████████▎                                      | 75/200 [14:56<23:14, 11.15s/it]
 38%|███████████████████████▌                                      | 76/200 [15:05<21:40, 10.48s/it]
 38%|███████████████████████▊                                      | 77/200 [15:16<21:45, 10.62s/it]
 39%|████████████████████████▏                                     | 78/200 [15:34<25:39, 12.61s/it]
 40%|████████████████████████▍                                     | 79/200 [15:43<23:20, 11.58s/it]
 40%|████████████████████████▊                                     | 80/200 [15:57<24:53, 12.44s/it]
 40%|█████████████████████████                                     | 81/200 [16:10<24:39, 12.43s/it]
 41%|█████████████████████████▍                                    | 82/200 [16:28<28:01, 14.25s/it]
 42%|█████████████████████████▋                                    | 83/200 [16:38<25:01, 12.83s/it]
 42%|██████████████████████████                                    | 84/200 [16:48<23:18, 12.05s/it]
 42%|██████████████████████████▎                                   | 85/200 [16:58<22:13, 11.59s/it]
 43%|██████████████████████████▋                                   | 86/200 [17:10<22:00, 11.59s/it]
 44%|██████████████████████████▉                                   | 87/200 [17:24<23:17, 12.36s/it]
 44%|███████████████████████████▎                                  | 88/200 [17:34<21:53, 11.73s/it]
 44%|███████████████████████████▌                                  | 89/200 [17:42<19:41, 10.64s/it]
 45%|███████████████████████████▉                                  | 90/200 [17:54<20:07, 10.98s/it]
 46%|████████████████████████████▏                                 | 91/200 [18:04<19:16, 10.61s/it]
 46%|████████████████████████████▌                                 | 92/200 [18:13<18:27, 10.26s/it]
 46%|████████████████████████████▊                                 | 93/200 [18:25<19:09, 10.74s/it]
 47%|█████████████████████████████▏                                | 94/200 [18:32<16:36,  9.40s/it]
 48%|█████████████████████████████▍                                | 95/200 [18:41<16:24,  9.37s/it]
 48%|█████████████████████████████▊                                | 96/200 [18:59<20:59, 12.11s/it]
 48%|██████████████████████████████                                | 97/200 [19:09<19:33, 11.39s/it]
 49%|██████████████████████████████▍                               | 98/200 [19:20<19:16, 11.33s/it]
 50%|██████████████████████████████▋                               | 99/200 [19:33<19:52, 11.81s/it]
 50%|██████████████████████████████▌                              | 100/200 [19:44<18:56, 11.36s/it]
 50%|██████████████████████████████▊                              | 101/200 [19:54<18:17, 11.09s/it]
 51%|███████████████████████████████                              | 102/200 [20:03<17:17, 10.59s/it]
 52%|███████████████████████████████▍                             | 103/200 [20:14<16:56, 10.48s/it]
 52%|███████████████████████████████▋                             | 104/200 [20:23<16:21, 10.22s/it]
 52%|████████████████████████████████                             | 105/200 [20:39<18:45, 11.85s/it]
 53%|████████████████████████████████▎                            | 106/200 [20:49<17:45, 11.34s/it]
 54%|████████████████████████████████▋                            | 107/200 [21:03<19:01, 12.27s/it]
 54%|████████████████████████████████▉                            | 108/200 [21:19<20:20, 13.27s/it]
 55%|█████████████████████████████████▏                           | 109/200 [21:31<19:39, 12.96s/it]
 55%|█████████████████████████████████▌                           | 110/200 [21:38<16:37, 11.08s/it]
 56%|█████████████████████████████████▊                           | 111/200 [21:51<17:30, 11.80s/it]
 56%|██████████████████████████████████▏                          | 112/200 [22:03<16:59, 11.59s/it]
 56%|██████████████████████████████████▍                          | 113/200 [22:13<16:05, 11.10s/it]FunctionTimedOut
Retrying...

 57%|██████████████████████████████████▊                          | 114/200 [22:49<26:58, 18.81s/it]
 57%|███████████████████████████████████                          | 115/200 [23:02<24:10, 17.07s/it]
 58%|███████████████████████████████████▍                         | 116/200 [23:13<21:23, 15.28s/it]
 58%|███████████████████████████████████▋                         | 117/200 [23:23<18:34, 13.43s/it]
 59%|███████████████████████████████████▉                         | 118/200 [23:32<16:51, 12.34s/it]
 60%|████████████████████████████████████▎                        | 119/200 [23:46<17:08, 12.70s/it]
 60%|████████████████████████████████████▌                        | 120/200 [23:59<16:56, 12.71s/it]
 60%|████████████████████████████████████▉                        | 121/200 [24:10<16:07, 12.25s/it]
 61%|█████████████████████████████████████▏                       | 122/200 [24:16<13:22, 10.29s/it]
 62%|█████████████████████████████████████▌                       | 123/200 [24:25<13:04, 10.18s/it]
 62%|█████████████████████████████████████▊                       | 124/200 [24:36<13:12, 10.43s/it]
 62%|██████████████████████████████████████▏                      | 125/200 [24:47<13:15, 10.60s/it]
 63%|██████████████████████████████████████▍                      | 126/200 [24:59<13:17, 10.78s/it]
 64%|██████████████████████████████████████▋                      | 127/200 [25:09<12:51, 10.56s/it]
 64%|███████████████████████████████████████                      | 128/200 [25:17<11:55,  9.93s/it]
 64%|███████████████████████████████████████▎                     | 129/200 [25:26<11:21,  9.60s/it]
 65%|███████████████████████████████████████▋                     | 130/200 [25:38<12:00, 10.29s/it]
 66%|███████████████████████████████████████▉                     | 131/200 [25:50<12:35, 10.95s/it]
 66%|████████████████████████████████████████▎                    | 132/200 [26:01<12:17, 10.85s/it]
 66%|████████████████████████████████████████▌                    | 133/200 [26:15<13:00, 11.65s/it]
 67%|████████████████████████████████████████▊                    | 134/200 [26:31<14:18, 13.01s/it]
 68%|█████████████████████████████████████████▏                   | 135/200 [26:39<12:27, 11.50s/it]
 68%|█████████████████████████████████████████▍                   | 136/200 [26:47<11:21, 10.65s/it]
 68%|█████████████████████████████████████████▊                   | 137/200 [27:01<12:13, 11.64s/it]
 69%|██████████████████████████████████████████                   | 138/200 [27:13<11:55, 11.53s/it]
 70%|██████████████████████████████████████████▍                  | 139/200 [27:25<11:54, 11.71s/it]
 70%|██████████████████████████████████████████▋                  | 140/200 [27:34<10:50, 10.84s/it]
 70%|███████████████████████████████████████████                  | 141/200 [27:46<11:06, 11.30s/it]
 71%|███████████████████████████████████████████▎                 | 142/200 [27:58<11:14, 11.64s/it]
 72%|███████████████████████████████████████████▌                 | 143/200 [28:09<10:42, 11.28s/it]
 72%|███████████████████████████████████████████▉                 | 144/200 [28:19<10:10, 10.90s/it]
 72%|████████████████████████████████████████████▏                | 145/200 [28:30<10:04, 10.99s/it]
 73%|████████████████████████████████████████████▌                | 146/200 [28:39<09:29, 10.54s/it]
 74%|████████████████████████████████████████████▊                | 147/200 [28:51<09:30, 10.76s/it]
 74%|█████████████████████████████████████████████▏               | 148/200 [29:03<09:35, 11.07s/it]
 74%|█████████████████████████████████████████████▍               | 149/200 [29:11<08:49, 10.38s/it]
 75%|█████████████████████████████████████████████▊               | 150/200 [29:21<08:25, 10.12s/it]
 76%|██████████████████████████████████████████████               | 151/200 [29:29<07:47,  9.55s/it]
 76%|██████████████████████████████████████████████▎              | 152/200 [29:37<07:15,  9.07s/it]
 76%|██████████████████████████████████████████████▋              | 153/200 [29:49<07:50, 10.01s/it]
 77%|██████████████████████████████████████████████▉              | 154/200 [29:59<07:37,  9.94s/it]
 78%|███████████████████████████████████████████████▎             | 155/200 [30:11<07:59, 10.67s/it]
 78%|███████████████████████████████████████████████▌             | 156/200 [30:23<08:02, 10.96s/it]
 78%|███████████████████████████████████████████████▉             | 157/200 [30:39<08:57, 12.51s/it]
 79%|████████████████████████████████████████████████▏            | 158/200 [30:52<08:56, 12.77s/it]
 80%|████████████████████████████████████████████████▍            | 159/200 [31:04<08:25, 12.32s/it]
 80%|████████████████████████████████████████████████▊            | 160/200 [31:17<08:22, 12.57s/it]
 80%|█████████████████████████████████████████████████            | 161/200 [31:27<07:39, 11.78s/it]
 81%|█████████████████████████████████████████████████▍           | 162/200 [31:37<07:06, 11.22s/it]
 82%|█████████████████████████████████████████████████▋           | 163/200 [31:50<07:14, 11.75s/it]
 82%|██████████████████████████████████████████████████           | 164/200 [32:02<07:06, 11.85s/it]
 82%|██████████████████████████████████████████████████▎          | 165/200 [32:16<07:21, 12.61s/it]
 83%|██████████████████████████████████████████████████▋          | 166/200 [32:29<07:06, 12.55s/it]
 84%|██████████████████████████████████████████████████▉          | 167/200 [32:44<07:19, 13.30s/it]
 84%|███████████████████████████████████████████████████▏         | 168/200 [32:52<06:19, 11.85s/it]
 84%|███████████████████████████████████████████████████▌         | 169/200 [33:02<05:51, 11.33s/it]
 85%|███████████████████████████████████████████████████▊         | 170/200 [33:16<05:59, 11.97s/it]
 86%|████████████████████████████████████████████████████▏        | 171/200 [33:26<05:31, 11.45s/it]
 86%|████████████████████████████████████████████████████▍        | 172/200 [33:34<04:55, 10.55s/it]
 86%|████████████████████████████████████████████████████▊        | 173/200 [33:49<05:18, 11.81s/it]
 87%|█████████████████████████████████████████████████████        | 174/200 [34:00<04:58, 11.48s/it]
 88%|█████████████████████████████████████████████████████▍       | 175/200 [34:15<05:14, 12.60s/it]
 88%|█████████████████████████████████████████████████████▋       | 176/200 [34:25<04:45, 11.88s/it]
 88%|█████████████████████████████████████████████████████▉       | 177/200 [34:44<05:18, 13.87s/it]
 89%|██████████████████████████████████████████████████████▎      | 178/200 [34:58<05:10, 14.12s/it]
 90%|██████████████████████████████████████████████████████▌      | 179/200 [35:10<04:41, 13.42s/it]
 90%|██████████████████████████████████████████████████████▉      | 180/200 [35:20<04:07, 12.39s/it]
 90%|███████████████████████████████████████████████████████▏     | 181/200 [35:31<03:48, 12.03s/it]
 91%|███████████████████████████████████████████████████████▌     | 182/200 [35:39<03:14, 10.83s/it]
 92%|███████████████████████████████████████████████████████▊     | 183/200 [35:49<02:59, 10.59s/it]
 92%|████████████████████████████████████████████████████████     | 184/200 [36:05<03:12, 12.01s/it]
 92%|████████████████████████████████████████████████████████▍    | 185/200 [36:19<03:12, 12.81s/it]
 93%|████████████████████████████████████████████████████████▋    | 186/200 [36:34<03:08, 13.44s/it]
 94%|█████████████████████████████████████████████████████████    | 187/200 [36:43<02:35, 11.97s/it]
 94%|█████████████████████████████████████████████████████████▎   | 188/200 [36:56<02:29, 12.43s/it]
 94%|█████████████████████████████████████████████████████████▋   | 189/200 [37:07<02:09, 11.78s/it]
 95%|█████████████████████████████████████████████████████████▉   | 190/200 [37:18<01:57, 11.74s/it]
 96%|██████████████████████████████████████████████████████████▎  | 191/200 [37:30<01:45, 11.72s/it]
 96%|██████████████████████████████████████████████████████████▌  | 192/200 [37:42<01:35, 11.89s/it]
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [37:52<01:19, 11.29s/it]
 97%|███████████████████████████████████████████████████████████▏ | 194/200 [38:04<01:08, 11.44s/it]
 98%|███████████████████████████████████████████████████████████▍ | 195/200 [38:16<00:57, 11.54s/it]
 98%|███████████████████████████████████████████████████████████▊ | 196/200 [38:28<00:46, 11.62s/it]
 98%|████████████████████████████████████████████████████████████ | 197/200 [38:35<00:31, 10.49s/it]
 99%|████████████████████████████████████████████████████████████▍| 198/200 [38:47<00:21, 10.87s/it]
100%|████████████████████████████████████████████████████████████▋| 199/200 [38:59<00:11, 11.22s/it]
100%|█████████████████████████████████████████████████████████████| 200/200 [39:09<00:00, 10.91s/it]
100%|█████████████████████████████████████████████████████████████| 200/200 [39:09<00:00, 11.75s/it]
Process ID: [1777320] | Model: chatgpt | File: Bio-Medical | Saving 200 items to ./decoding-strategy_data/chatgpt_top-p_8/Bio-Medical.json
Process ID: [1777320] | 0 items left | Exit
Process ID: [1777320] | Loading data from ./annotation/query/Finance.json | Total 200

  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [1777320] | Model: chatgpt | File: Finance | Saving 0 items to ./decoding-strategy_data/chatgpt_top-p_8/Finance.json

  0%|▎                                                              | 1/200 [00:16<55:46, 16.82s/it]
  1%|▋                                                              | 2/200 [00:25<38:57, 11.80s/it]
  2%|▉                                                              | 3/200 [00:35<36:45, 11.19s/it]
  2%|█▎                                                             | 4/200 [00:44<34:14, 10.48s/it]
  2%|█▌                                                             | 5/200 [00:55<34:37, 10.66s/it]
  3%|█▉                                                             | 6/200 [01:07<34:59, 10.82s/it]
  4%|██▏                                                            | 7/200 [01:22<39:30, 12.28s/it]
  4%|██▌                                                            | 8/200 [01:34<38:47, 12.12s/it]
  4%|██▊                                                            | 9/200 [01:47<39:41, 12.47s/it]
  5%|███                                                           | 10/200 [01:57<37:01, 11.69s/it]
  6%|███▍                                                          | 11/200 [02:13<40:46, 12.94s/it]
  6%|███▋                                                          | 12/200 [02:23<38:22, 12.24s/it]
  6%|████                                                          | 13/200 [02:33<35:44, 11.47s/it]
  7%|████▎                                                         | 14/200 [02:47<37:42, 12.17s/it]
  8%|████▋                                                         | 15/200 [02:56<34:39, 11.24s/it]
  8%|████▉                                                         | 16/200 [03:10<37:00, 12.07s/it]
  8%|█████▎                                                        | 17/200 [03:18<32:51, 10.77s/it]
  9%|█████▌                                                        | 18/200 [03:28<32:34, 10.74s/it]
 10%|█████▉                                                        | 19/200 [03:40<33:03, 10.96s/it]
 10%|██████▏                                                       | 20/200 [03:48<30:28, 10.16s/it]
 10%|██████▌                                                       | 21/200 [04:01<32:54, 11.03s/it]
 11%|██████▊                                                       | 22/200 [04:11<31:30, 10.62s/it]
 12%|███████▏                                                      | 23/200 [04:22<31:31, 10.69s/it]
 12%|███████▍                                                      | 24/200 [04:36<34:31, 11.77s/it]
 12%|███████▊                                                      | 25/200 [04:49<35:47, 12.27s/it]
 13%|████████                                                      | 26/200 [04:58<32:41, 11.27s/it]
 14%|████████▎                                                     | 27/200 [05:18<39:33, 13.72s/it]
 14%|████████▋                                                     | 28/200 [05:31<39:09, 13.66s/it]
 14%|████████▉                                                     | 29/200 [05:43<37:46, 13.25s/it]
 15%|█████████▎                                                    | 30/200 [05:57<38:04, 13.44s/it]
 16%|█████████▌                                                    | 31/200 [06:07<34:46, 12.35s/it]
 16%|█████████▉                                                    | 32/200 [06:18<33:36, 12.00s/it]
 16%|██████████▏                                                   | 33/200 [06:29<32:13, 11.58s/it]
 17%|██████████▌                                                   | 34/200 [06:37<29:20, 10.61s/it]
 18%|██████████▊                                                   | 35/200 [06:47<28:31, 10.37s/it]
 18%|███████████▏                                                  | 36/200 [07:00<30:21, 11.11s/it]
 18%|███████████▍                                                  | 37/200 [07:11<30:19, 11.16s/it]
 19%|███████████▊                                                  | 38/200 [07:22<29:48, 11.04s/it]
 20%|████████████                                                  | 39/200 [07:31<27:37, 10.29s/it]
 20%|████████████▍                                                 | 40/200 [07:42<28:44, 10.78s/it]
 20%|████████████▋                                                 | 41/200 [07:51<26:45, 10.10s/it]
 21%|█████████████                                                 | 42/200 [08:04<28:37, 10.87s/it]
 22%|█████████████▎                                                | 43/200 [08:14<28:18, 10.82s/it]
 22%|█████████████▋                                                | 44/200 [08:26<28:51, 11.10s/it]FunctionTimedOut
Retrying...

 22%|█████████████▉                                                | 45/200 [09:02<48:00, 18.58s/it]
 23%|██████████████▎                                               | 46/200 [09:15<43:20, 16.89s/it]
 24%|██████████████▌                                               | 47/200 [09:24<36:55, 14.48s/it]
 24%|██████████████▉                                               | 48/200 [09:35<34:08, 13.48s/it]
 24%|███████████████▏                                              | 49/200 [09:50<35:10, 13.98s/it]
 25%|███████████████▌                                              | 50/200 [10:07<36:46, 14.71s/it]
 26%|███████████████▊                                              | 51/200 [10:16<32:18, 13.01s/it]
 26%|████████████████                                              | 52/200 [10:32<34:35, 14.03s/it]
 26%|████████████████▍                                             | 53/200 [10:49<36:20, 14.84s/it]
 27%|████████████████▋                                             | 54/200 [11:02<34:58, 14.37s/it]
 28%|█████████████████                                             | 55/200 [11:14<33:04, 13.69s/it]
 28%|█████████████████▎                                            | 56/200 [11:28<33:19, 13.88s/it]
 28%|█████████████████▋                                            | 57/200 [11:39<30:35, 12.83s/it]
 29%|█████████████████▉                                            | 58/200 [11:51<29:44, 12.57s/it]
 30%|██████████████████▎                                           | 59/200 [12:01<27:33, 11.72s/it]
 30%|██████████████████▌                                           | 60/200 [12:11<26:24, 11.32s/it]
 30%|██████████████████▉                                           | 61/200 [12:26<28:54, 12.48s/it]
 31%|███████████████████▏                                          | 62/200 [12:40<29:32, 12.85s/it]
 32%|███████████████████▌                                          | 63/200 [12:52<28:48, 12.62s/it]
 32%|███████████████████▊                                          | 64/200 [13:00<25:40, 11.33s/it]
 32%|████████████████████▏                                         | 65/200 [13:09<24:00, 10.67s/it]
 33%|████████████████████▍                                         | 66/200 [13:22<25:14, 11.30s/it]
 34%|████████████████████▊                                         | 67/200 [13:32<24:00, 10.83s/it]
 34%|█████████████████████                                         | 68/200 [13:46<25:48, 11.73s/it]
 34%|█████████████████████▍                                        | 69/200 [13:57<25:13, 11.56s/it]
 35%|█████████████████████▋                                        | 70/200 [14:07<23:51, 11.01s/it]
 36%|██████████████████████                                        | 71/200 [14:15<22:09, 10.30s/it]
 36%|██████████████████████▎                                       | 72/200 [14:24<21:10,  9.93s/it]
 36%|██████████████████████▋                                       | 73/200 [14:34<20:48,  9.83s/it]
 37%|██████████████████████▉                                       | 74/200 [14:47<22:40, 10.80s/it]
 38%|███████████████████████▎                                      | 75/200 [14:59<23:13, 11.14s/it]
 38%|███████████████████████▌                                      | 76/200 [15:11<23:40, 11.45s/it]
 38%|███████████████████████▊                                      | 77/200 [15:22<23:24, 11.42s/it]
 39%|████████████████████████▏                                     | 78/200 [15:32<22:18, 10.97s/it]
 40%|████████████████████████▍                                     | 79/200 [15:44<22:39, 11.23s/it]
 40%|████████████████████████▊                                     | 80/200 [15:54<21:45, 10.88s/it]
 40%|█████████████████████████                                     | 81/200 [16:04<21:06, 10.64s/it]
 41%|█████████████████████████▍                                    | 82/200 [16:18<22:46, 11.58s/it]
 42%|█████████████████████████▋                                    | 83/200 [16:29<22:13, 11.39s/it]
 42%|██████████████████████████                                    | 84/200 [16:38<20:51, 10.79s/it]
 42%|██████████████████████████▎                                   | 85/200 [16:53<22:53, 11.94s/it]
 43%|██████████████████████████▋                                   | 86/200 [17:04<21:52, 11.52s/it]
 44%|██████████████████████████▉                                   | 87/200 [17:09<18:26,  9.79s/it]
 44%|███████████████████████████▎                                  | 88/200 [17:19<18:12,  9.75s/it]
 44%|███████████████████████████▌                                  | 89/200 [17:33<20:08, 10.88s/it]
 45%|███████████████████████████▉                                  | 90/200 [17:43<19:51, 10.83s/it]
 46%|████████████████████████████▏                                 | 91/200 [17:55<20:20, 11.20s/it]
 46%|████████████████████████████▌                                 | 92/200 [18:04<18:33, 10.31s/it]
 46%|████████████████████████████▊                                 | 93/200 [18:18<20:44, 11.63s/it]
 47%|█████████████████████████████▏                                | 94/200 [18:31<20:56, 11.85s/it]
 48%|█████████████████████████████▍                                | 95/200 [18:41<19:57, 11.40s/it]
 48%|█████████████████████████████▊                                | 96/200 [18:52<19:35, 11.30s/it]
 48%|██████████████████████████████                                | 97/200 [19:01<18:01, 10.50s/it]
 49%|██████████████████████████████▍                               | 98/200 [19:12<18:14, 10.73s/it]
 50%|██████████████████████████████▋                               | 99/200 [19:21<17:17, 10.28s/it]
 50%|██████████████████████████████▌                              | 100/200 [19:33<17:46, 10.66s/it]
 50%|██████████████████████████████▊                              | 101/200 [19:49<20:16, 12.29s/it]
 51%|███████████████████████████████                              | 102/200 [19:59<19:14, 11.78s/it]
 52%|███████████████████████████████▍                             | 103/200 [20:15<20:53, 12.93s/it]
 52%|███████████████████████████████▋                             | 104/200 [20:24<18:54, 11.81s/it]
 52%|████████████████████████████████                             | 105/200 [20:38<19:33, 12.35s/it]
 53%|████████████████████████████████▎                            | 106/200 [20:48<18:14, 11.65s/it]
 54%|████████████████████████████████▋                            | 107/200 [20:59<17:36, 11.36s/it]
 54%|████████████████████████████████▉                            | 108/200 [21:09<17:02, 11.11s/it]
 55%|█████████████████████████████████▏                           | 109/200 [21:21<17:13, 11.36s/it]
 55%|█████████████████████████████████▌                           | 110/200 [21:37<18:59, 12.66s/it]
 56%|█████████████████████████████████▊                           | 111/200 [21:52<19:49, 13.37s/it]
 56%|██████████████████████████████████▏                          | 112/200 [22:06<20:02, 13.66s/it]
 56%|██████████████████████████████████▍                          | 113/200 [22:21<20:09, 13.90s/it]FunctionTimedOut
Retrying...

 57%|██████████████████████████████████▊                          | 114/200 [22:55<28:33, 19.92s/it]
 57%|███████████████████████████████████                          | 115/200 [23:07<25:10, 17.77s/it]
 58%|███████████████████████████████████▍                         | 116/200 [23:17<21:24, 15.29s/it]
 58%|███████████████████████████████████▋                         | 117/200 [23:29<19:50, 14.34s/it]
 59%|███████████████████████████████████▉                         | 118/200 [23:42<19:13, 14.07s/it]
 60%|████████████████████████████████████▎                        | 119/200 [23:52<17:17, 12.81s/it]
 60%|████████████████████████████████████▌                        | 120/200 [24:02<15:49, 11.87s/it]
 60%|████████████████████████████████████▉                        | 121/200 [24:13<15:27, 11.74s/it]
