Process ID: [2339266] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-7b
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./sft2/sharegpt
    save_dir: ./fact/sharegpt
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2339266] | Loading data from ./sft2/sharegpt/Bio-Medical.json | Total 200
Process ID: [2339266] | Loading exist data from ./fact/sharegpt/Bio-Medical.json | Total 0
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 0 items to ./fact/sharegpt/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:09<29:58,  9.04s/it]  1%|▋                                                              | 2/200 [00:22<38:17, 11.60s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 2 items to ./fact/sharegpt/Bio-Medical.json
 12%|███████▏                                                      | 23/200 [03:00<16:21,  5.54s/it] 12%|███████▍                                                      | 24/200 [03:10<19:58,  6.81s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 24 items to ./fact/sharegpt/Bio-Medical.json
 12%|███████▊                                                      | 25/200 [03:17<19:52,  6.81s/it] 13%|████████                                                      | 26/200 [03:22<18:08,  6.26s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 26 items to ./fact/sharegpt/Bio-Medical.json
 14%|████████▎                                                     | 27/200 [03:32<21:50,  7.58s/it] 14%|████████▋                                                     | 28/200 [03:37<19:03,  6.65s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 28 items to ./fact/sharegpt/Bio-Medical.json
 14%|████████▉                                                     | 29/200 [03:49<23:47,  8.35s/it] 15%|█████████▎                                                    | 30/200 [04:02<27:38,  9.76s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 30 items to ./fact/sharegpt/Bio-Medical.json
 16%|█████████▌                                                    | 31/200 [04:10<26:06,  9.27s/it] 16%|█████████▉                                                    | 32/200 [04:19<25:11,  9.00s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 32 items to ./fact/sharegpt/Bio-Medical.json
 16%|██████████▏                                                   | 33/200 [04:26<23:46,  8.54s/it] 17%|██████████▌                                                   | 34/200 [04:33<22:39,  8.19s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 34 items to ./fact/sharegpt/Bio-Medical.json
 18%|██████████▊                                                   | 35/200 [04:55<33:42, 12.26s/it] 18%|███████████▏                                                  | 36/200 [05:08<34:15, 12.53s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 36 items to ./fact/sharegpt/Bio-Medical.json
 18%|███████████▍                                                  | 37/200 [05:19<32:08, 11.83s/it] 19%|███████████▊                                                  | 38/200 [05:26<28:01, 10.38s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 38 items to ./fact/sharegpt/Bio-Medical.json
 20%|████████████                                                  | 39/200 [05:41<32:02, 11.94s/it] 20%|████████████▍                                                 | 40/200 [05:49<28:30, 10.69s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 40 items to ./fact/sharegpt/Bio-Medical.json
 20%|████████████▋                                                 | 41/200 [05:57<26:07,  9.86s/it] 21%|█████████████                                                 | 42/200 [06:04<23:57,  9.10s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 42 items to ./fact/sharegpt/Bio-Medical.json
 22%|█████████████▎                                                | 43/200 [06:11<21:42,  8.29s/it] 22%|█████████████▋                                                | 44/200 [06:17<20:13,  7.78s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 44 items to ./fact/sharegpt/Bio-Medical.json
 22%|█████████████▉                                                | 45/200 [06:18<14:40,  5.68s/it] 23%|██████████████▎                                               | 46/200 [06:23<14:28,  5.64s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 46 items to ./fact/sharegpt/Bio-Medical.json
 24%|██████████████▌                                               | 47/200 [06:29<14:01,  5.50s/it] 24%|██████████████▉                                               | 48/200 [06:35<14:35,  5.76s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 48 items to ./fact/sharegpt/Bio-Medical.json
 24%|███████████████▏                                              | 49/200 [06:49<20:27,  8.13s/it] 25%|███████████████▌                                              | 50/200 [06:56<19:39,  7.86s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 50 items to ./fact/sharegpt/Bio-Medical.json
 26%|███████████████▊                                              | 51/200 [06:57<14:10,  5.71s/it] 26%|████████████████                                              | 52/200 [07:06<16:54,  6.86s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 52 items to ./fact/sharegpt/Bio-Medical.json
 26%|████████████████▍                                             | 53/200 [07:16<18:47,  7.67s/it] 27%|████████████████▋                                             | 54/200 [07:24<18:56,  7.78s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 54 items to ./fact/sharegpt/Bio-Medical.json
 28%|█████████████████                                             | 55/200 [07:30<17:23,  7.20s/it] 28%|█████████████████▎                                            | 56/200 [07:31<12:51,  5.36s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 56 items to ./fact/sharegpt/Bio-Medical.json
 28%|█████████████████▋                                            | 57/200 [07:41<16:29,  6.92s/it] 29%|█████████████████▉                                            | 58/200 [07:58<23:22,  9.87s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 58 items to ./fact/sharegpt/Bio-Medical.json
 30%|██████████████████▎                                           | 59/200 [08:10<24:45, 10.54s/it] 30%|██████████████████▌                                           | 60/200 [08:20<24:26, 10.48s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 60 items to ./fact/sharegpt/Bio-Medical.json
 30%|██████████████████▉                                           | 61/200 [08:27<21:20,  9.21s/it] 31%|███████████████████▏                                          | 62/200 [08:34<19:41,  8.56s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 62 items to ./fact/sharegpt/Bio-Medical.json
 32%|███████████████████▌                                          | 63/200 [08:45<21:34,  9.45s/it] 32%|███████████████████▊                                          | 64/200 [08:46<15:40,  6.92s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 64 items to ./fact/sharegpt/Bio-Medical.json
 32%|████████████████████▏                                         | 65/200 [08:55<16:39,  7.40s/it] 33%|████████████████████▍                                         | 66/200 [09:01<15:34,  6.97s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 66 items to ./fact/sharegpt/Bio-Medical.json
 34%|████████████████████▊                                         | 67/200 [09:10<17:00,  7.67s/it] 34%|█████████████████████                                         | 68/200 [09:16<15:58,  7.26s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 68 items to ./fact/sharegpt/Bio-Medical.json
 34%|█████████████████████▍                                        | 69/200 [09:21<14:13,  6.52s/it] 35%|█████████████████████▋                                        | 70/200 [09:30<15:31,  7.16s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 70 items to ./fact/sharegpt/Bio-Medical.json
 36%|██████████████████████                                        | 71/200 [09:37<15:39,  7.28s/it] 36%|██████████████████████▎                                       | 72/200 [09:38<11:28,  5.38s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 72 items to ./fact/sharegpt/Bio-Medical.json
 36%|██████████████████████▋                                       | 73/200 [09:46<12:42,  6.01s/it] 37%|██████████████████████▉                                       | 74/200 [09:52<12:57,  6.17s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 74 items to ./fact/sharegpt/Bio-Medical.json
 38%|███████████████████████▎                                      | 75/200 [10:03<15:22,  7.38s/it] 38%|███████████████████████▌                                      | 76/200 [10:11<15:38,  7.57s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 76 items to ./fact/sharegpt/Bio-Medical.json
 38%|███████████████████████▊                                      | 77/200 [10:16<14:13,  6.94s/it] 39%|████████████████████████▏                                     | 78/200 [10:23<14:04,  6.92s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 78 items to ./fact/sharegpt/Bio-Medical.json
 40%|████████████████████████▍                                     | 79/200 [10:31<14:32,  7.21s/it] 40%|████████████████████████▊                                     | 80/200 [10:43<17:24,  8.70s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 80 items to ./fact/sharegpt/Bio-Medical.json
 40%|█████████████████████████                                     | 81/200 [10:48<15:14,  7.68s/it] 41%|█████████████████████████▍                                    | 82/200 [10:55<14:49,  7.54s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 82 items to ./fact/sharegpt/Bio-Medical.json
 42%|█████████████████████████▋                                    | 83/200 [11:02<14:08,  7.25s/it] 42%|██████████████████████████                                    | 84/200 [11:07<12:37,  6.53s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 84 items to ./fact/sharegpt/Bio-Medical.json
 42%|██████████████████████████▎                                   | 85/200 [11:22<17:44,  9.25s/it] 43%|██████████████████████████▋                                   | 86/200 [11:28<15:23,  8.10s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 86 items to ./fact/sharegpt/Bio-Medical.json
 44%|██████████████████████████▉                                   | 87/200 [11:37<15:52,  8.43s/it] 44%|███████████████████████████▎                                  | 88/200 [11:45<15:32,  8.33s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 88 items to ./fact/sharegpt/Bio-Medical.json
 44%|███████████████████████████▌                                  | 89/200 [11:53<15:06,  8.16s/it] 45%|███████████████████████████▉                                  | 90/200 [12:02<15:12,  8.29s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 90 items to ./fact/sharegpt/Bio-Medical.json
 46%|████████████████████████████▏                                 | 91/200 [12:09<14:23,  7.92s/it] 46%|████████████████████████████▌                                 | 92/200 [12:10<10:35,  5.88s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 92 items to ./fact/sharegpt/Bio-Medical.json
 46%|████████████████████████████▊                                 | 93/200 [12:20<12:50,  7.20s/it] 47%|█████████████████████████████▏                                | 94/200 [12:22<09:48,  5.56s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 94 items to ./fact/sharegpt/Bio-Medical.json
 48%|█████████████████████████████▍                                | 95/200 [12:29<10:47,  6.17s/it] 48%|█████████████████████████████▊                                | 96/200 [12:37<11:28,  6.62s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 96 items to ./fact/sharegpt/Bio-Medical.json
 48%|██████████████████████████████                                | 97/200 [12:47<13:00,  7.58s/it] 49%|██████████████████████████████▍                               | 98/200 [12:54<12:35,  7.41s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 98 items to ./fact/sharegpt/Bio-Medical.json
 50%|██████████████████████████████▋                               | 99/200 [13:01<12:18,  7.31s/it] 50%|██████████████████████████████▌                              | 100/200 [13:13<14:37,  8.78s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 100 items to ./fact/sharegpt/Bio-Medical.json
 50%|██████████████████████████████▊                              | 101/200 [13:19<12:54,  7.82s/it] 51%|███████████████████████████████                              | 102/200 [13:23<11:04,  6.78s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 102 items to ./fact/sharegpt/Bio-Medical.json
 52%|███████████████████████████████▍                             | 103/200 [13:30<10:58,  6.79s/it] 52%|███████████████████████████████▋                             | 104/200 [13:41<12:53,  8.06s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 104 items to ./fact/sharegpt/Bio-Medical.json
 52%|████████████████████████████████                             | 105/200 [13:51<13:45,  8.69s/it] 53%|████████████████████████████████▎                            | 106/200 [13:59<13:24,  8.56s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 106 items to ./fact/sharegpt/Bio-Medical.json
 54%|████████████████████████████████▋                            | 107/200 [14:11<14:30,  9.36s/it] 54%|████████████████████████████████▉                            | 108/200 [14:26<17:10, 11.20s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 108 items to ./fact/sharegpt/Bio-Medical.json
 55%|█████████████████████████████████▏                           | 109/200 [14:32<14:42,  9.69s/it] 55%|█████████████████████████████████▌                           | 110/200 [14:40<13:53,  9.26s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 110 items to ./fact/sharegpt/Bio-Medical.json
 56%|█████████████████████████████████▊                           | 111/200 [14:52<14:36,  9.84s/it] 56%|██████████████████████████████████▏                          | 112/200 [15:10<18:01, 12.29s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 112 items to ./fact/sharegpt/Bio-Medical.json
 56%|██████████████████████████████████▍                          | 113/200 [15:11<12:51,  8.86s/it] 57%|██████████████████████████████████▊                          | 114/200 [15:17<11:42,  8.17s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 114 items to ./fact/sharegpt/Bio-Medical.json
 57%|███████████████████████████████████                          | 115/200 [15:25<11:32,  8.15s/it] 58%|███████████████████████████████████▍                         | 116/200 [15:32<10:45,  7.68s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 116 items to ./fact/sharegpt/Bio-Medical.json
 58%|███████████████████████████████████▋                         | 117/200 [15:40<10:47,  7.81s/it] 59%|███████████████████████████████████▉                         | 118/200 [15:53<12:51,  9.40s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 118 items to ./fact/sharegpt/Bio-Medical.json
 60%|████████████████████████████████████▎                        | 119/200 [16:01<12:05,  8.96s/it] 60%|████████████████████████████████████▌                        | 120/200 [16:16<14:26, 10.83s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 120 items to ./fact/sharegpt/Bio-Medical.json
 60%|████████████████████████████████████▉                        | 121/200 [16:30<15:28, 11.75s/it] 61%|█████████████████████████████████████▏                       | 122/200 [16:31<11:14,  8.65s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 122 items to ./fact/sharegpt/Bio-Medical.json
 62%|█████████████████████████████████████▌                       | 123/200 [16:32<08:08,  6.34s/it] 62%|█████████████████████████████████████▊                       | 124/200 [16:33<05:57,  4.70s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 124 items to ./fact/sharegpt/Bio-Medical.json
 62%|██████████████████████████████████████▏                      | 125/200 [16:42<07:26,  5.95s/it] 63%|██████████████████████████████████████▍                      | 126/200 [16:54<09:37,  7.81s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 126 items to ./fact/sharegpt/Bio-Medical.json
 64%|██████████████████████████████████████▋                      | 127/200 [16:55<07:00,  5.76s/it] 64%|███████████████████████████████████████                      | 128/200 [17:01<07:00,  5.84s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 128 items to ./fact/sharegpt/Bio-Medical.json
 64%|███████████████████████████████████████▎                     | 129/200 [17:02<05:06,  4.31s/it] 65%|███████████████████████████████████████▋                     | 130/200 [17:10<06:09,  5.28s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 130 items to ./fact/sharegpt/Bio-Medical.json
 66%|███████████████████████████████████████▉                     | 131/200 [17:15<06:15,  5.44s/it] 66%|████████████████████████████████████████▎                    | 132/200 [17:25<07:43,  6.81s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 132 items to ./fact/sharegpt/Bio-Medical.json
 66%|████████████████████████████████████████▌                    | 133/200 [17:30<07:01,  6.29s/it] 67%|████████████████████████████████████████▊                    | 134/200 [17:39<07:38,  6.94s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 134 items to ./fact/sharegpt/Bio-Medical.json
 68%|█████████████████████████████████████████▏                   | 135/200 [17:51<09:19,  8.60s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [18:01<09:30,  8.91s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 136 items to ./fact/sharegpt/Bio-Medical.json
 68%|█████████████████████████████████████████▊                   | 137/200 [18:07<08:34,  8.16s/it] 69%|██████████████████████████████████████████                   | 138/200 [18:13<07:35,  7.34s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 138 items to ./fact/sharegpt/Bio-Medical.json
 70%|██████████████████████████████████████████▍                  | 139/200 [18:21<07:45,  7.63s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [18:30<08:08,  8.14s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 140 items to ./fact/sharegpt/Bio-Medical.json
 70%|███████████████████████████████████████████                  | 141/200 [18:39<08:09,  8.30s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [18:40<05:53,  6.10s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 142 items to ./fact/sharegpt/Bio-Medical.json
 72%|███████████████████████████████████████████▌                 | 143/200 [18:48<06:18,  6.63s/it] 72%|███████████████████████████████████████████▉                 | 144/200 [18:54<06:08,  6.58s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 144 items to ./fact/sharegpt/Bio-Medical.json
 72%|████████████████████████████████████████████▏                | 145/200 [19:03<06:39,  7.26s/it] 73%|████████████████████████████████████████████▌                | 146/200 [19:08<05:46,  6.42s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 146 items to ./fact/sharegpt/Bio-Medical.json
 74%|████████████████████████████████████████████▊                | 147/200 [19:17<06:25,  7.27s/it] 74%|█████████████████████████████████████████████▏               | 148/200 [19:28<07:18,  8.43s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 148 items to ./fact/sharegpt/Bio-Medical.json
 74%|█████████████████████████████████████████████▍               | 149/200 [19:29<05:12,  6.13s/it] 75%|█████████████████████████████████████████████▊               | 150/200 [19:37<05:36,  6.73s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 150 items to ./fact/sharegpt/Bio-Medical.json
 76%|██████████████████████████████████████████████               | 151/200 [19:39<04:20,  5.31s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [19:44<04:02,  5.06s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 152 items to ./fact/sharegpt/Bio-Medical.json
 76%|██████████████████████████████████████████████▋              | 153/200 [19:52<04:49,  6.16s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [19:58<04:34,  5.97s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 154 items to ./fact/sharegpt/Bio-Medical.json
 78%|███████████████████████████████████████████████▎             | 155/200 [19:59<03:22,  4.51s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [20:08<04:23,  5.98s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 156 items to ./fact/sharegpt/Bio-Medical.json
 78%|███████████████████████████████████████████████▉             | 157/200 [20:18<05:05,  7.11s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [20:26<05:05,  7.27s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 158 items to ./fact/sharegpt/Bio-Medical.json
 80%|████████████████████████████████████████████████▍            | 159/200 [20:33<05:02,  7.37s/it] 80%|████████████████████████████████████████████████▊            | 160/200 [20:40<04:41,  7.04s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 160 items to ./fact/sharegpt/Bio-Medical.json
 80%|█████████████████████████████████████████████████            | 161/200 [20:52<05:41,  8.76s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [21:00<05:21,  8.46s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 162 items to ./fact/sharegpt/Bio-Medical.json
 82%|█████████████████████████████████████████████████▋           | 163/200 [21:09<05:16,  8.56s/it] 82%|██████████████████████████████████████████████████           | 164/200 [21:24<06:20, 10.57s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 164 items to ./fact/sharegpt/Bio-Medical.json
 82%|██████████████████████████████████████████████████▎          | 165/200 [21:31<05:25,  9.31s/it] 83%|██████████████████████████████████████████████████▋          | 166/200 [21:40<05:14,  9.26s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 166 items to ./fact/sharegpt/Bio-Medical.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [21:48<04:53,  8.90s/it] 84%|███████████████████████████████████████████████████▏         | 168/200 [21:56<04:38,  8.70s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 168 items to ./fact/sharegpt/Bio-Medical.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [22:04<04:26,  8.59s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [22:16<04:44,  9.47s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 170 items to ./fact/sharegpt/Bio-Medical.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [22:22<04:08,  8.56s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [22:34<04:30,  9.64s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 172 items to ./fact/sharegpt/Bio-Medical.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [22:41<03:58,  8.85s/it] 87%|█████████████████████████████████████████████████████        | 174/200 [22:42<02:48,  6.48s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 174 items to ./fact/sharegpt/Bio-Medical.json
 88%|█████████████████████████████████████████████████████▍       | 175/200 [22:51<02:55,  7.02s/it] 88%|█████████████████████████████████████████████████████▋       | 176/200 [22:55<02:31,  6.32s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 176 items to ./fact/sharegpt/Bio-Medical.json
 88%|█████████████████████████████████████████████████████▉       | 177/200 [23:04<02:42,  7.09s/it] 89%|██████████████████████████████████████████████████████▎      | 178/200 [23:22<03:44, 10.22s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 178 items to ./fact/sharegpt/Bio-Medical.json
 90%|██████████████████████████████████████████████████████▌      | 179/200 [23:37<04:04, 11.62s/it] 90%|██████████████████████████████████████████████████████▉      | 180/200 [23:46<03:36, 10.82s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 180 items to ./fact/sharegpt/Bio-Medical.json
 90%|███████████████████████████████████████████████████████▏     | 181/200 [23:55<03:19, 10.51s/it] 91%|███████████████████████████████████████████████████████▌     | 182/200 [24:01<02:41,  8.97s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 182 items to ./fact/sharegpt/Bio-Medical.json
 92%|███████████████████████████████████████████████████████▊     | 183/200 [24:15<02:56, 10.41s/it] 92%|████████████████████████████████████████████████████████     | 184/200 [24:23<02:35,  9.72s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 184 items to ./fact/sharegpt/Bio-Medical.json
 92%|████████████████████████████████████████████████████████▍    | 185/200 [24:31<02:17,  9.17s/it] 93%|████████████████████████████████████████████████████████▋    | 186/200 [24:43<02:20, 10.03s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 186 items to ./fact/sharegpt/Bio-Medical.json
 94%|█████████████████████████████████████████████████████████    | 187/200 [24:57<02:26, 11.24s/it] 94%|█████████████████████████████████████████████████████████▎   | 188/200 [25:10<02:21, 11.75s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 188 items to ./fact/sharegpt/Bio-Medical.json
 94%|█████████████████████████████████████████████████████████▋   | 189/200 [25:20<02:05, 11.40s/it] 95%|█████████████████████████████████████████████████████████▉   | 190/200 [25:26<01:36,  9.68s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 190 items to ./fact/sharegpt/Bio-Medical.json
 96%|██████████████████████████████████████████████████████████▎  | 191/200 [25:37<01:32, 10.23s/it] 96%|██████████████████████████████████████████████████████████▌  | 192/200 [25:45<01:15,  9.43s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 192 items to ./fact/sharegpt/Bio-Medical.json
