Process ID: [2339265] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-7b
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./sft2/flan
    save_dir: ./fact/flan
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2339265] | Loading data from ./sft2/flan/Bio-Medical.json | Total 200
Process ID: [2339265] | Loading exist data from ./fact/flan/Bio-Medical.json | Total 0
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 0 items to ./fact/flan/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:02<07:06,  2.14s/it]  1%|▋                                                              | 2/200 [00:03<05:21,  1.62s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 2 items to ./fact/flan/Bio-Medical.json
 40%|████████████████████████▍                                     | 79/200 [01:39<02:04,  1.03s/it] 40%|████████████████████████▊                                     | 80/200 [01:40<02:01,  1.01s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 80 items to ./fact/flan/Bio-Medical.json
 40%|█████████████████████████                                     | 81/200 [01:41<02:01,  1.02s/it] 41%|█████████████████████████▍                                    | 82/200 [01:42<01:57,  1.00it/s]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 82 items to ./fact/flan/Bio-Medical.json
 42%|█████████████████████████▋                                    | 83/200 [01:44<02:31,  1.29s/it] 42%|██████████████████████████                                    | 84/200 [01:45<02:23,  1.23s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 84 items to ./fact/flan/Bio-Medical.json
 42%|██████████████████████████▎                                   | 85/200 [01:46<02:25,  1.27s/it] 43%|██████████████████████████▋                                   | 86/200 [01:47<02:04,  1.09s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 86 items to ./fact/flan/Bio-Medical.json
 44%|██████████████████████████▉                                   | 87/200 [01:48<01:58,  1.05s/it] 44%|███████████████████████████▎                                  | 88/200 [01:49<01:49,  1.03it/s]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 88 items to ./fact/flan/Bio-Medical.json
 44%|███████████████████████████▌                                  | 89/200 [01:50<01:59,  1.08s/it] 45%|███████████████████████████▉                                  | 90/200 [01:53<03:02,  1.66s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 90 items to ./fact/flan/Bio-Medical.json
 46%|████████████████████████████▏                                 | 91/200 [01:54<02:36,  1.44s/it] 46%|████████████████████████████▌                                 | 92/200 [01:55<02:13,  1.23s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 92 items to ./fact/flan/Bio-Medical.json
 46%|████████████████████████████▊                                 | 93/200 [01:56<02:16,  1.27s/it] 47%|█████████████████████████████▏                                | 94/200 [01:57<02:04,  1.18s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 94 items to ./fact/flan/Bio-Medical.json
 48%|█████████████████████████████▍                                | 95/200 [01:58<01:49,  1.04s/it] 48%|█████████████████████████████▊                                | 96/200 [01:59<01:40,  1.03it/s]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 96 items to ./fact/flan/Bio-Medical.json
 48%|██████████████████████████████                                | 97/200 [01:59<01:30,  1.13it/s] 49%|██████████████████████████████▍                               | 98/200 [02:00<01:30,  1.12it/s]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 98 items to ./fact/flan/Bio-Medical.json
