Process ID: [2339269] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-7b
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./sft2/sinstruct_sharegpt_flan_10k
    save_dir: ./fact/sinstruct_sharegpt_flan_10k
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2339269] | Loading data from ./sft2/sinstruct_sharegpt_flan_10k/Bio-Medical.json | Total 200
Process ID: [2339269] | Loading exist data from ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json | Total 0
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 0 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:01<05:30,  1.66s/it]  1%|▋                                                              | 2/200 [00:08<14:49,  4.49s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 2 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 12%|███████▏                                                      | 23/200 [02:17<22:55,  7.77s/it] 12%|███████▍                                                      | 24/200 [02:28<26:14,  8.95s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 24 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 12%|███████▊                                                      | 25/200 [02:38<26:16,  9.01s/it] 13%|████████                                                      | 26/200 [02:39<19:18,  6.66s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 26 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 14%|████████▎                                                     | 27/200 [02:40<14:51,  5.15s/it] 14%|████████▋                                                     | 28/200 [02:46<15:31,  5.41s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 28 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 14%|████████▉                                                     | 29/200 [02:54<17:30,  6.15s/it] 15%|█████████▎                                                    | 30/200 [03:03<19:18,  6.82s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 30 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 16%|█████████▌                                                    | 31/200 [03:23<30:15, 10.74s/it] 16%|█████████▉                                                    | 32/200 [03:33<30:12, 10.79s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 32 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 16%|██████████▏                                                   | 33/200 [03:34<21:42,  7.80s/it] 17%|██████████▌                                                   | 34/200 [03:44<22:58,  8.30s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 34 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 18%|██████████▊                                                   | 35/200 [03:51<21:37,  7.86s/it] 18%|███████████▏                                                  | 36/200 [04:01<23:25,  8.57s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 36 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 18%|███████████▍                                                  | 37/200 [04:02<16:52,  6.21s/it] 19%|███████████▊                                                  | 38/200 [04:10<18:26,  6.83s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 38 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 20%|████████████                                                  | 39/200 [04:16<17:54,  6.67s/it] 20%|████████████▍                                                 | 40/200 [04:25<19:47,  7.42s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 40 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 20%|████████████▋                                                 | 41/200 [04:32<18:46,  7.09s/it] 21%|█████████████                                                 | 42/200 [04:33<13:54,  5.28s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 42 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 22%|█████████████▎                                                | 43/200 [04:49<22:33,  8.62s/it] 22%|█████████████▋                                                | 44/200 [04:56<21:13,  8.17s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 44 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 22%|█████████████▉                                                | 45/200 [05:03<20:25,  7.90s/it] 23%|██████████████▎                                               | 46/200 [05:37<39:46, 15.50s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 46 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 24%|██████████████▌                                               | 47/200 [05:38<28:36, 11.22s/it] 24%|██████████████▉                                               | 48/200 [05:49<28:24, 11.21s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 48 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 24%|███████████████▏                                              | 49/200 [06:07<33:32, 13.33s/it] 25%|███████████████▌                                              | 50/200 [06:09<24:41,  9.88s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 50 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 26%|███████████████▊                                              | 51/200 [06:10<17:49,  7.18s/it] 26%|████████████████                                              | 52/200 [06:12<13:41,  5.55s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 52 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 26%|████████████████▍                                             | 53/200 [06:13<10:11,  4.16s/it] 27%|████████████████▋                                             | 54/200 [06:22<14:03,  5.78s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 54 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 28%|█████████████████                                             | 55/200 [06:29<14:41,  6.08s/it] 28%|█████████████████▎                                            | 56/200 [06:34<13:47,  5.75s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 56 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 28%|█████████████████▋                                            | 57/200 [06:41<14:15,  5.98s/it] 29%|█████████████████▉                                            | 58/200 [06:50<16:23,  6.93s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 58 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 30%|██████████████████▎                                           | 59/200 [06:56<15:40,  6.67s/it] 30%|██████████████████▌                                           | 60/200 [07:04<16:26,  7.05s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 60 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 30%|██████████████████▉                                           | 61/200 [07:05<12:05,  5.22s/it] 31%|███████████████████▏                                          | 62/200 [07:16<16:11,  7.04s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 62 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 32%|███████████████████▌                                          | 63/200 [07:25<17:41,  7.75s/it] 32%|███████████████████▊                                          | 64/200 [07:39<21:33,  9.51s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 64 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 32%|████████████████████▏                                         | 65/200 [07:45<18:55,  8.41s/it] 33%|████████████████████▍                                         | 66/200 [07:46<13:49,  6.19s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 66 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 34%|████████████████████▊                                         | 67/200 [07:47<10:09,  4.58s/it] 34%|█████████████████████                                         | 68/200 [07:56<13:13,  6.01s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 68 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 34%|█████████████████████▍                                        | 69/200 [08:09<17:31,  8.03s/it] 35%|█████████████████████▋                                        | 70/200 [08:17<17:20,  8.00s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 70 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 36%|██████████████████████                                        | 71/200 [08:17<12:31,  5.82s/it] 36%|██████████████████████▎                                       | 72/200 [08:18<09:09,  4.30s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 72 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 36%|██████████████████████▋                                       | 73/200 [08:19<06:54,  3.27s/it] 37%|██████████████████████▉                                       | 74/200 [08:28<10:37,  5.06s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 74 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 38%|███████████████████████▎                                      | 75/200 [08:40<14:34,  7.00s/it] 38%|███████████████████████▌                                      | 76/200 [08:50<16:35,  8.03s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 76 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 38%|███████████████████████▊                                      | 77/200 [09:04<20:05,  9.80s/it] 39%|████████████████████████▏                                     | 78/200 [09:10<17:29,  8.60s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 78 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 40%|████████████████████████▍                                     | 79/200 [09:11<12:42,  6.30s/it] 40%|████████████████████████▊                                     | 80/200 [09:18<13:12,  6.60s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 80 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 40%|█████████████████████████                                     | 81/200 [09:20<10:22,  5.23s/it] 41%|█████████████████████████▍                                    | 82/200 [09:34<15:28,  7.87s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 82 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 42%|█████████████████████████▋                                    | 83/200 [09:40<13:59,  7.18s/it] 42%|██████████████████████████                                    | 84/200 [09:52<17:01,  8.81s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 84 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 42%|██████████████████████████▎                                   | 85/200 [09:55<13:16,  6.93s/it] 43%|██████████████████████████▋                                   | 86/200 [10:03<13:31,  7.12s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 86 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 44%|██████████████████████████▉                                   | 87/200 [10:03<09:55,  5.27s/it] 44%|███████████████████████████▎                                  | 88/200 [10:07<08:51,  4.75s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 88 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 44%|███████████████████████████▌                                  | 89/200 [10:13<09:31,  5.14s/it] 45%|███████████████████████████▉                                  | 90/200 [10:19<10:08,  5.53s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 90 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 46%|████████████████████████████▏                                 | 91/200 [10:26<10:39,  5.87s/it] 46%|████████████████████████████▌                                 | 92/200 [10:35<12:04,  6.71s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 92 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 46%|████████████████████████████▊                                 | 93/200 [10:42<12:05,  6.78s/it] 47%|█████████████████████████████▏                                | 94/200 [10:47<11:11,  6.34s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 94 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 48%|█████████████████████████████▍                                | 95/200 [10:48<08:25,  4.82s/it] 48%|█████████████████████████████▊                                | 96/200 [10:54<08:47,  5.07s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 96 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 48%|██████████████████████████████                                | 97/200 [10:55<06:33,  3.82s/it] 49%|██████████████████████████████▍                               | 98/200 [11:07<10:31,  6.19s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 98 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 50%|██████████████████████████████▋                               | 99/200 [11:13<10:45,  6.39s/it] 50%|██████████████████████████████▌                              | 100/200 [11:14<07:56,  4.76s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 100 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 50%|██████████████████████████████▊                              | 101/200 [11:19<07:58,  4.84s/it] 51%|███████████████████████████████                              | 102/200 [11:24<07:49,  4.79s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 102 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 52%|███████████████████████████████▍                             | 103/200 [11:25<05:45,  3.56s/it] 52%|███████████████████████████████▋                             | 104/200 [11:34<08:09,  5.10s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 104 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 52%|████████████████████████████████                             | 105/200 [11:42<09:32,  6.02s/it] 53%|████████████████████████████████▎                            | 106/200 [11:49<10:10,  6.50s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 106 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 54%|████████████████████████████████▋                            | 107/200 [11:55<09:43,  6.27s/it] 54%|████████████████████████████████▉                            | 108/200 [11:56<07:02,  4.59s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 108 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 55%|█████████████████████████████████▏                           | 109/200 [11:57<05:25,  3.58s/it] 55%|█████████████████████████████████▌                           | 110/200 [12:04<06:50,  4.56s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 110 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 56%|█████████████████████████████████▊                           | 111/200 [12:11<08:02,  5.42s/it] 56%|██████████████████████████████████▏                          | 112/200 [12:21<09:44,  6.64s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 112 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 56%|██████████████████████████████████▍                          | 113/200 [12:22<07:10,  4.94s/it] 57%|██████████████████████████████████▊                          | 114/200 [12:31<08:59,  6.27s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 114 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 57%|███████████████████████████████████                          | 115/200 [12:37<08:49,  6.23s/it] 58%|███████████████████████████████████▍                         | 116/200 [12:48<10:27,  7.47s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 116 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 58%|███████████████████████████████████▋                         | 117/200 [12:55<10:28,  7.57s/it] 59%|███████████████████████████████████▉                         | 118/200 [12:56<07:39,  5.61s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 118 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 60%|████████████████████████████████████▎                        | 119/200 [12:57<05:44,  4.26s/it] 60%|████████████████████████████████████▌                        | 120/200 [13:07<07:58,  5.98s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 120 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 60%|████████████████████████████████████▉                        | 121/200 [13:22<11:04,  8.41s/it] 61%|█████████████████████████████████████▏                       | 122/200 [13:22<07:59,  6.14s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 122 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 62%|█████████████████████████████████████▌                       | 123/200 [13:23<05:50,  4.55s/it] 62%|█████████████████████████████████████▊                       | 124/200 [13:35<08:31,  6.73s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 124 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 62%|██████████████████████████████████████▏                      | 125/200 [13:42<08:23,  6.71s/it] 63%|██████████████████████████████████████▍                      | 126/200 [13:48<08:04,  6.55s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 126 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 64%|██████████████████████████████████████▋                      | 127/200 [13:49<05:53,  4.84s/it] 64%|███████████████████████████████████████                      | 128/200 [13:50<04:21,  3.64s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 128 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 64%|███████████████████████████████████████▎                     | 129/200 [14:04<08:06,  6.86s/it] 65%|███████████████████████████████████████▋                     | 130/200 [14:10<07:35,  6.50s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 130 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 66%|███████████████████████████████████████▉                     | 131/200 [14:17<07:36,  6.62s/it] 66%|████████████████████████████████████████▎                    | 132/200 [14:26<08:21,  7.38s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 132 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 66%|████████████████████████████████████████▌                    | 133/200 [14:33<08:16,  7.41s/it] 67%|████████████████████████████████████████▊                    | 134/200 [14:43<09:02,  8.23s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 134 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 68%|█████████████████████████████████████████▏                   | 135/200 [14:53<09:25,  8.70s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [14:54<06:45,  6.33s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 136 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 68%|█████████████████████████████████████████▊                   | 137/200 [15:04<07:49,  7.45s/it] 69%|██████████████████████████████████████████                   | 138/200 [15:10<07:24,  7.16s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 138 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 70%|██████████████████████████████████████████▍                  | 139/200 [15:20<08:03,  7.93s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [15:21<05:55,  5.92s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 140 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 70%|███████████████████████████████████████████                  | 141/200 [15:31<06:45,  6.88s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [15:36<06:12,  6.43s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 142 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 72%|███████████████████████████████████████████▌                 | 143/200 [15:47<07:19,  7.71s/it] 72%|███████████████████████████████████████████▉                 | 144/200 [15:58<08:19,  8.93s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 144 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 72%|████████████████████████████████████████████▏                | 145/200 [16:01<06:28,  7.07s/it] 73%|████████████████████████████████████████████▌                | 146/200 [16:06<05:51,  6.51s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 146 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 74%|████████████████████████████████████████████▊                | 147/200 [16:07<04:19,  4.90s/it] 74%|█████████████████████████████████████████████▏               | 148/200 [16:20<06:12,  7.16s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 148 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 74%|█████████████████████████████████████████████▍               | 149/200 [16:22<04:52,  5.73s/it] 75%|█████████████████████████████████████████████▊               | 150/200 [16:30<05:17,  6.35s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 150 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 76%|██████████████████████████████████████████████               | 151/200 [16:32<03:59,  4.90s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [16:40<04:47,  5.98s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 152 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 76%|██████████████████████████████████████████████▋              | 153/200 [16:50<05:41,  7.26s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [16:59<05:56,  7.75s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 154 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 78%|███████████████████████████████████████████████▎             | 155/200 [17:12<06:56,  9.25s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [17:24<07:25, 10.13s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 156 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 78%|███████████████████████████████████████████████▉             | 157/200 [17:35<07:29, 10.45s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [17:43<06:40,  9.53s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 158 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
