Process ID: [2461870] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/
    save_dir: ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/determine_truthfulness_ins.txt
Process ID: [2461870] | Loading data from ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:05<19:34,  5.90s/it]  1%|▋                                                              | 2/200 [00:10<16:56,  5.13s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 12%|███████▏                                                      | 23/200 [03:22<24:16,  8.23s/it] 12%|███████▍                                                      | 24/200 [03:29<23:16,  7.93s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 24 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 12%|███████▊                                                      | 25/200 [03:41<26:21,  9.04s/it] 13%|████████                                                      | 26/200 [03:42<19:22,  6.68s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 26 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 14%|████████▎                                                     | 27/200 [03:46<16:59,  5.89s/it] 14%|████████▋                                                     | 28/200 [03:53<17:49,  6.22s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 28 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 14%|████████▉                                                     | 29/200 [04:04<21:47,  7.65s/it] 15%|█████████▎                                                    | 30/200 [04:10<20:07,  7.10s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 30 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 16%|█████████▌                                                    | 31/200 [04:22<24:27,  8.69s/it] 16%|█████████▉                                                    | 32/200 [04:33<25:42,  9.18s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 32 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 16%|██████████▏                                                   | 33/200 [04:50<31:59, 11.50s/it] 17%|██████████▌                                                   | 34/200 [04:54<25:59,  9.40s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 34 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 18%|██████████▊                                                   | 35/200 [04:55<18:59,  6.91s/it] 18%|███████████▏                                                  | 36/200 [05:09<24:43,  9.05s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 36 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 18%|███████████▍                                                  | 37/200 [05:18<24:01,  8.84s/it] 19%|███████████▊                                                  | 38/200 [05:21<19:25,  7.20s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 38 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 20%|████████████                                                  | 39/200 [05:27<18:32,  6.91s/it] 20%|████████████▍                                                 | 40/200 [05:35<19:07,  7.17s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 40 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 20%|████████████▋                                                 | 41/200 [05:52<27:12, 10.27s/it] 21%|█████████████                                                 | 42/200 [05:59<24:14,  9.21s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 42 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 22%|█████████████▎                                                | 43/200 [06:18<31:19, 11.97s/it] 22%|█████████████▋                                                | 44/200 [06:20<23:41,  9.11s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 44 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 22%|█████████████▉                                                | 45/200 [06:31<25:20,  9.81s/it] 23%|██████████████▎                                               | 46/200 [06:33<19:00,  7.40s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 46 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 24%|██████████████▌                                               | 47/200 [06:41<18:52,  7.40s/it] 24%|██████████████▉                                               | 48/200 [06:52<21:40,  8.56s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 48 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 24%|███████████████▏                                              | 49/200 [07:05<25:16, 10.04s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 50 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 26%|███████████████▊                                              | 51/200 [07:20<21:47,  8.78s/it] 26%|████████████████                                              | 52/200 [07:32<23:21,  9.47s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 52 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 26%|████████████████▍                                             | 53/200 [07:50<28:43, 11.72s/it] 27%|████████████████▋                                             | 54/200 [07:55<24:32, 10.09s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 54 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 28%|█████████████████                                             | 55/200 [08:03<22:33,  9.33s/it] 28%|█████████████████▎                                            | 56/200 [08:10<21:03,  8.77s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 56 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 28%|█████████████████▋                                            | 57/200 [08:20<21:49,  9.16s/it] 29%|█████████████████▉                                            | 58/200 [08:34<24:51, 10.50s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 58 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 30%|██████████████████▎                                           | 59/200 [08:40<21:12,  9.02s/it] 30%|██████████████████▌                                           | 60/200 [08:50<21:53,  9.38s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 60 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 30%|██████████████████▉                                           | 61/200 [08:55<19:03,  8.23s/it] 31%|███████████████████▏                                          | 62/200 [09:07<21:21,  9.28s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 62 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 32%|███████████████████▌                                          | 63/200 [09:22<25:08, 11.01s/it] 32%|███████████████████▊                                          | 64/200 [09:24<18:29,  8.16s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 64 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 32%|████████████████████▏                                         | 65/200 [09:29<16:38,  7.39s/it] 33%|████████████████████▍                                         | 66/200 [09:32<13:21,  5.98s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 66 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 34%|████████████████████▊                                         | 67/200 [09:38<13:19,  6.01s/it] 34%|█████████████████████                                         | 68/200 [09:49<16:26,  7.48s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 68 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 34%|█████████████████████▍                                        | 69/200 [09:59<17:52,  8.19s/it] 35%|█████████████████████▋                                        | 70/200 [10:07<18:08,  8.37s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 70 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 36%|██████████████████████                                        | 71/200 [10:10<14:21,  6.68s/it] 36%|██████████████████████▎                                       | 72/200 [10:19<15:55,  7.46s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 72 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 36%|██████████████████████▋                                       | 73/200 [10:30<17:30,  8.27s/it] 37%|██████████████████████▉                                       | 74/200 [10:33<14:24,  6.86s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 74 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 38%|███████████████████████▎                                      | 75/200 [10:43<16:22,  7.86s/it] 38%|███████████████████████▌                                      | 76/200 [11:04<24:07, 11.68s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 76 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 39%|████████████████████████▏                                     | 78/200 [11:11<16:05,  7.91s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 78 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 40%|████████████████████████▍                                     | 79/200 [11:19<15:52,  7.87s/it] 40%|████████████████████████▊                                     | 80/200 [11:36<20:25, 10.21s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 80 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 40%|█████████████████████████                                     | 81/200 [11:47<20:57, 10.57s/it] 41%|█████████████████████████▍                                    | 82/200 [11:58<20:44, 10.54s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 82 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 42%|█████████████████████████▋                                    | 83/200 [12:17<25:43, 13.20s/it] 42%|██████████████████████████                                    | 84/200 [12:22<20:43, 10.72s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 84 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 42%|██████████████████████████▎                                   | 85/200 [12:24<15:32,  8.11s/it] 43%|██████████████████████████▋                                   | 86/200 [12:39<19:04, 10.04s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 86 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 44%|██████████████████████████▉                                   | 87/200 [12:40<14:12,  7.54s/it] 44%|███████████████████████████▎                                  | 88/200 [12:49<15:00,  8.04s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 88 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 44%|███████████████████████████▌                                  | 89/200 [12:59<15:43,  8.50s/it] 45%|███████████████████████████▉                                  | 90/200 [13:04<13:40,  7.46s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 90 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 46%|████████████████████████████▏                                 | 91/200 [13:08<11:47,  6.49s/it] 46%|████████████████████████████▌                                 | 92/200 [13:12<10:17,  5.72s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 92 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 46%|████████████████████████████▊                                 | 93/200 [13:26<14:43,  8.25s/it] 47%|█████████████████████████████▏                                | 94/200 [13:34<14:18,  8.10s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 94 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 48%|█████████████████████████████▍                                | 95/200 [13:48<17:14,  9.85s/it] 48%|█████████████████████████████▊                                | 96/200 [13:54<14:53,  8.59s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 96 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 48%|██████████████████████████████                                | 97/200 [14:02<14:52,  8.67s/it] 49%|██████████████████████████████▍                               | 98/200 [14:07<12:37,  7.43s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 98 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 50%|██████████████████████████████▋                               | 99/200 [14:19<15:01,  8.93s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 100 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 50%|██████████████████████████████▊                              | 101/200 [14:26<10:35,  6.42s/it] 51%|███████████████████████████████                              | 102/200 [14:29<09:02,  5.54s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 102 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 52%|███████████████████████████████▍                             | 103/200 [14:52<16:10, 10.00s/it] 52%|███████████████████████████████▋                             | 104/200 [15:07<18:21, 11.47s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 104 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 52%|████████████████████████████████                             | 105/200 [15:18<17:58, 11.35s/it] 53%|████████████████████████████████▎                            | 106/200 [15:34<19:43, 12.59s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 106 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 54%|████████████████████████████████▋                            | 107/200 [15:56<23:41, 15.29s/it] 54%|████████████████████████████████▉                            | 108/200 [16:05<20:34, 13.42s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 108 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 55%|█████████████████████████████████▏                           | 109/200 [16:20<21:04, 13.89s/it] 55%|█████████████████████████████████▌                           | 110/200 [16:22<15:33, 10.38s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 110 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 56%|█████████████████████████████████▊                           | 111/200 [16:26<12:33,  8.47s/it] 56%|██████████████████████████████████▏                          | 112/200 [16:29<10:19,  7.03s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 112 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 56%|██████████████████████████████████▍                          | 113/200 [16:49<15:24, 10.63s/it] 57%|██████████████████████████████████▊                          | 114/200 [16:52<12:20,  8.61s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 114 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 57%|███████████████████████████████████                          | 115/200 [17:07<14:53, 10.51s/it] 58%|███████████████████████████████████▍                         | 116/200 [17:32<20:44, 14.81s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 116 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 58%|███████████████████████████████████▋                         | 117/200 [17:42<18:15, 13.20s/it] 59%|███████████████████████████████████▉                         | 118/200 [17:44<13:43, 10.04s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 118 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 60%|████████████████████████████████████▌                        | 120/200 [17:53<09:54,  7.43s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 120 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 60%|████████████████████████████████████▉                        | 121/200 [18:09<12:41,  9.64s/it] 61%|█████████████████████████████████████▏                       | 122/200 [18:30<16:20, 12.57s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 122 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 62%|█████████████████████████████████████▌                       | 123/200 [18:38<14:29, 11.29s/it] 62%|█████████████████████████████████████▊                       | 124/200 [18:46<12:57, 10.23s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 124 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 62%|██████████████████████████████████████▏                      | 125/200 [18:47<09:45,  7.80s/it] 63%|██████████████████████████████████████▍                      | 126/200 [19:04<12:36, 10.23s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 126 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 64%|███████████████████████████████████████                      | 128/200 [19:11<08:45,  7.29s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 128 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 64%|███████████████████████████████████████▎                     | 129/200 [19:19<08:48,  7.45s/it] 65%|███████████████████████████████████████▋                     | 130/200 [19:32<10:17,  8.82s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 130 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 66%|███████████████████████████████████████▉                     | 131/200 [19:43<10:51,  9.45s/it] 66%|████████████████████████████████████████▎                    | 132/200 [19:50<10:00,  8.82s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 132 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 66%|████████████████████████████████████████▌                    | 133/200 [20:02<10:50,  9.70s/it] 67%|████████████████████████████████████████▊                    | 134/200 [20:17<12:18, 11.19s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 134 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 68%|█████████████████████████████████████████▏                   | 135/200 [20:32<13:13, 12.20s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [20:46<13:35, 12.74s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 136 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 68%|█████████████████████████████████████████▊                   | 137/200 [20:52<11:19, 10.78s/it] 69%|██████████████████████████████████████████                   | 138/200 [20:53<08:17,  8.02s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 138 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 70%|██████████████████████████████████████████▍                  | 139/200 [21:02<08:23,  8.25s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [21:12<08:39,  8.67s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 140 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 70%|███████████████████████████████████████████                  | 141/200 [21:25<09:47,  9.96s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [21:37<10:16, 10.64s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 142 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 72%|███████████████████████████████████████████▌                 | 143/200 [21:53<11:33, 12.16s/it] 72%|███████████████████████████████████████████▉                 | 144/200 [22:01<10:14, 10.98s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 144 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 72%|████████████████████████████████████████████▏                | 145/200 [22:14<10:41, 11.66s/it] 73%|████████████████████████████████████████████▌                | 146/200 [22:31<12:03, 13.41s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 146 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 74%|████████████████████████████████████████████▊                | 147/200 [22:33<08:36,  9.74s/it] 74%|█████████████████████████████████████████████▏               | 148/200 [22:48<09:46, 11.28s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 148 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 74%|█████████████████████████████████████████████▍               | 149/200 [22:51<07:33,  8.89s/it] 75%|█████████████████████████████████████████████▊               | 150/200 [23:01<07:37,  9.14s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 150 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 76%|██████████████████████████████████████████████               | 151/200 [23:04<06:01,  7.39s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [23:16<06:57,  8.69s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 152 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 76%|██████████████████████████████████████████████▋              | 153/200 [23:29<08:01, 10.24s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [23:33<06:14,  8.15s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 154 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 78%|███████████████████████████████████████████████▎             | 155/200 [23:36<05:06,  6.82s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [23:44<05:12,  7.11s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 156 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
