Process ID: [2461867] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/
    save_dir: ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/determine_truthfulness_ins.txt
Process ID: [2461867] | Loading data from ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:10<36:28, 11.00s/it]  1%|▋                                                              | 2/200 [00:17<26:42,  8.10s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 12%|███████▏                                                      | 23/200 [04:50<43:13, 14.65s/it] 12%|███████▍                                                      | 24/200 [04:54<33:56, 11.57s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 24 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 12%|███████▊                                                      | 25/200 [04:58<27:28,  9.42s/it] 13%|████████                                                      | 26/200 [05:16<34:43, 11.97s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 26 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 14%|████████▎                                                     | 27/200 [05:23<30:19, 10.52s/it] 14%|████████▋                                                     | 28/200 [05:46<40:33, 14.15s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 28 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 14%|████████▉                                                     | 29/200 [05:58<38:42, 13.58s/it] 15%|█████████▎                                                    | 30/200 [06:19<44:46, 15.80s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 30 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 16%|█████████▌                                                    | 31/200 [06:26<36:26, 12.94s/it] 16%|█████████▉                                                    | 32/200 [06:32<30:45, 10.98s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 32 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 16%|██████████▏                                                   | 33/200 [07:04<48:10, 17.31s/it] 17%|██████████▌                                                   | 34/200 [07:18<45:10, 16.33s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 34 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 18%|██████████▊                                                   | 35/200 [07:26<37:44, 13.73s/it] 18%|███████████▏                                                  | 36/200 [07:31<30:48, 11.27s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 36 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 18%|███████████▍                                                  | 37/200 [07:37<26:03,  9.59s/it] 19%|███████████▊                                                  | 38/200 [07:51<29:13, 10.82s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 38 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 20%|████████████                                                  | 39/200 [07:59<27:17, 10.17s/it] 20%|████████████▍                                                 | 40/200 [08:06<24:38,  9.24s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 40 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 20%|████████████▋                                                 | 41/200 [08:16<25:08,  9.48s/it] 21%|█████████████                                                 | 42/200 [08:28<26:51, 10.20s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 42 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 22%|█████████████▎                                                | 43/200 [08:31<21:10,  8.09s/it] 22%|█████████████▋                                                | 44/200 [08:43<23:29,  9.03s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 44 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 22%|█████████████▉                                                | 45/200 [08:50<21:50,  8.45s/it] 23%|██████████████▎                                               | 46/200 [08:55<19:00,  7.40s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 46 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 24%|██████████████▌                                               | 47/200 [09:03<19:11,  7.53s/it] 24%|██████████████▉                                               | 48/200 [09:14<22:02,  8.70s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 48 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 24%|███████████████▏                                              | 49/200 [09:28<25:56, 10.31s/it] 25%|███████████████▌                                              | 50/200 [09:36<24:07,  9.65s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 50 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 26%|███████████████▊                                              | 51/200 [09:53<29:17, 11.79s/it] 26%|████████████████                                              | 52/200 [10:08<31:26, 12.75s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 52 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 26%|████████████████▍                                             | 53/200 [10:25<34:38, 14.14s/it] 27%|████████████████▋                                             | 54/200 [10:48<40:49, 16.78s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 54 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 28%|█████████████████                                             | 55/200 [11:01<37:54, 15.68s/it] 28%|█████████████████▎                                            | 56/200 [11:22<40:53, 17.04s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 56 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 28%|█████████████████▋                                            | 57/200 [11:42<42:48, 17.96s/it] 29%|█████████████████▉                                            | 58/200 [11:49<34:50, 14.72s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 58 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 30%|██████████████████▎                                           | 59/200 [12:02<33:23, 14.21s/it] 30%|██████████████████▌                                           | 60/200 [12:11<29:22, 12.59s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 60 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 30%|██████████████████▉                                           | 61/200 [12:27<31:52, 13.76s/it] 31%|███████████████████▏                                          | 62/200 [12:45<34:40, 15.08s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 62 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 32%|███████████████████▌                                          | 63/200 [13:06<38:00, 16.64s/it] 32%|███████████████████▊                                          | 64/200 [13:13<31:22, 13.84s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 64 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 32%|████████████████████▏                                         | 65/200 [13:17<24:14, 10.77s/it] 33%|████████████████████▍                                         | 66/200 [13:29<25:21, 11.36s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 66 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 34%|████████████████████▊                                         | 67/200 [13:37<22:41, 10.24s/it] 34%|█████████████████████                                         | 68/200 [13:42<19:08,  8.70s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 68 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 34%|█████████████████████▍                                        | 69/200 [13:47<16:35,  7.60s/it] 35%|█████████████████████▋                                        | 70/200 [13:54<16:04,  7.42s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 70 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 36%|██████████████████████                                        | 71/200 [14:11<22:07, 10.29s/it] 36%|██████████████████████▎                                       | 72/200 [14:16<18:28,  8.66s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 72 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 36%|██████████████████████▋                                       | 73/200 [14:28<20:28,  9.67s/it] 37%|██████████████████████▉                                       | 74/200 [14:32<17:05,  8.14s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 74 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 38%|███████████████████████▎                                      | 75/200 [14:42<17:47,  8.54s/it] 38%|███████████████████████▌                                      | 76/200 [14:47<15:32,  7.52s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 76 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 38%|███████████████████████▊                                      | 77/200 [14:57<17:01,  8.30s/it] 39%|████████████████████████▏                                     | 78/200 [15:06<17:21,  8.54s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 78 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 40%|████████████████████████▍                                     | 79/200 [15:17<18:49,  9.34s/it] 40%|████████████████████████▊                                     | 80/200 [15:27<18:41,  9.35s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 80 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 40%|█████████████████████████                                     | 81/200 [15:36<18:13,  9.19s/it] 41%|█████████████████████████▍                                    | 82/200 [16:03<29:02, 14.76s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 82 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 42%|█████████████████████████▋                                    | 83/200 [16:14<26:25, 13.55s/it] 42%|██████████████████████████                                    | 84/200 [16:23<23:21, 12.08s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 84 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 42%|██████████████████████████▎                                   | 85/200 [16:32<21:37, 11.29s/it] 43%|██████████████████████████▋                                   | 86/200 [16:48<23:47, 12.52s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 86 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 44%|██████████████████████████▉                                   | 87/200 [17:01<23:46, 12.63s/it] 44%|███████████████████████████▎                                  | 88/200 [17:12<23:09, 12.41s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 88 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 44%|███████████████████████████▌                                  | 89/200 [17:21<20:37, 11.15s/it] 45%|███████████████████████████▉                                  | 90/200 [17:33<20:56, 11.42s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 90 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 46%|████████████████████████████▏                                 | 91/200 [17:54<26:22, 14.52s/it] 46%|████████████████████████████▌                                 | 92/200 [18:07<25:17, 14.05s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 92 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 46%|████████████████████████████▊                                 | 93/200 [18:14<21:11, 11.88s/it] 47%|█████████████████████████████▏                                | 94/200 [18:17<16:17,  9.22s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 94 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 48%|█████████████████████████████▍                                | 95/200 [18:29<17:39, 10.09s/it] 48%|█████████████████████████████▊                                | 96/200 [18:53<24:30, 14.14s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 96 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 48%|██████████████████████████████                                | 97/200 [19:16<29:03, 16.93s/it] 49%|██████████████████████████████▍                               | 98/200 [19:25<24:38, 14.49s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 98 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 50%|██████████████████████████████▋                               | 99/200 [19:37<23:12, 13.79s/it] 50%|██████████████████████████████▌                              | 100/200 [19:54<24:33, 14.74s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 100 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 50%|██████████████████████████████▊                              | 101/200 [20:05<22:10, 13.44s/it] 51%|███████████████████████████████                              | 102/200 [20:15<20:11, 12.36s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 102 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 52%|███████████████████████████████▍                             | 103/200 [20:22<17:27, 10.80s/it] 52%|███████████████████████████████▋                             | 104/200 [20:39<20:14, 12.65s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 104 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 52%|████████████████████████████████                             | 105/200 [20:44<16:41, 10.54s/it] 53%|████████████████████████████████▎                            | 106/200 [20:56<17:00, 10.85s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 106 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 54%|████████████████████████████████▉                            | 108/200 [21:01<10:39,  6.95s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 108 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 55%|█████████████████████████████████▏                           | 109/200 [21:10<11:21,  7.49s/it] 55%|█████████████████████████████████▌                           | 110/200 [21:15<10:26,  6.96s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 110 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 56%|█████████████████████████████████▊                           | 111/200 [21:19<08:50,  5.96s/it] 56%|██████████████████████████████████▏                          | 112/200 [21:31<11:31,  7.86s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 112 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 57%|██████████████████████████████████▊                          | 114/200 [21:36<07:54,  5.52s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 114 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 57%|███████████████████████████████████                          | 115/200 [21:41<07:33,  5.33s/it] 58%|███████████████████████████████████▍                         | 116/200 [21:48<08:06,  5.79s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 116 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 58%|███████████████████████████████████▋                         | 117/200 [21:56<08:50,  6.39s/it] 59%|███████████████████████████████████▉                         | 118/200 [22:14<13:08,  9.62s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 118 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 60%|████████████████████████████████████▎                        | 119/200 [22:26<13:42, 10.16s/it] 60%|████████████████████████████████████▌                        | 120/200 [22:39<14:41, 11.02s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 120 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 60%|████████████████████████████████████▉                        | 121/200 [22:50<14:17, 10.86s/it] 61%|█████████████████████████████████████▏                       | 122/200 [22:59<13:24, 10.32s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 122 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 62%|█████████████████████████████████████▌                       | 123/200 [23:07<12:26,  9.70s/it] 62%|█████████████████████████████████████▊                       | 124/200 [23:15<11:53,  9.38s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 124 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 62%|██████████████████████████████████████▏                      | 125/200 [23:38<16:36, 13.29s/it] 63%|██████████████████████████████████████▍                      | 126/200 [24:07<22:09, 17.97s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 126 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 64%|██████████████████████████████████████▋                      | 127/200 [24:16<18:41, 15.37s/it] 64%|███████████████████████████████████████                      | 128/200 [24:23<15:26, 12.87s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 128 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 64%|███████████████████████████████████████▎                     | 129/200 [24:29<12:41, 10.72s/it] 65%|███████████████████████████████████████▋                     | 130/200 [24:33<10:02,  8.61s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 130 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 66%|███████████████████████████████████████▉                     | 131/200 [24:48<12:12, 10.62s/it] 66%|████████████████████████████████████████▎                    | 132/200 [25:07<14:55, 13.16s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 132 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 66%|████████████████████████████████████████▌                    | 133/200 [25:10<11:16, 10.10s/it] 67%|████████████████████████████████████████▊                    | 134/200 [25:16<09:50,  8.95s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 134 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 68%|█████████████████████████████████████████▏                   | 135/200 [25:31<11:40, 10.78s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [25:37<09:52,  9.25s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 136 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 68%|█████████████████████████████████████████▊                   | 137/200 [25:43<08:40,  8.26s/it] 69%|██████████████████████████████████████████                   | 138/200 [25:51<08:23,  8.12s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 138 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 70%|██████████████████████████████████████████▍                  | 139/200 [26:02<09:16,  9.12s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [26:17<10:47, 10.78s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 140 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 70%|███████████████████████████████████████████                  | 141/200 [26:30<11:25, 11.62s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [26:52<14:13, 14.72s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 142 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 72%|███████████████████████████████████████████▌                 | 143/200 [27:07<13:55, 14.66s/it] 72%|███████████████████████████████████████████▉                 | 144/200 [27:17<12:32, 13.44s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 144 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 72%|████████████████████████████████████████████▏                | 145/200 [27:34<13:10, 14.37s/it] 73%|████████████████████████████████████████████▌                | 146/200 [27:39<10:26, 11.59s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 146 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 74%|████████████████████████████████████████████▊                | 147/200 [28:01<12:53, 14.59s/it] 74%|█████████████████████████████████████████████▏               | 148/200 [28:14<12:20, 14.24s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 148 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 74%|█████████████████████████████████████████████▍               | 149/200 [28:20<09:55, 11.67s/it] 75%|█████████████████████████████████████████████▊               | 150/200 [28:32<09:50, 11.82s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 150 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 76%|██████████████████████████████████████████████               | 151/200 [28:40<08:44, 10.71s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [28:46<07:24,  9.25s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 152 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
