Process ID: [2461869] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/
    save_dir: ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/determine_truthfulness_ins.txt
Process ID: [2461869] | Loading data from ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:08<27:22,  8.25s/it]  1%|▋                                                              | 2/200 [00:26<47:07, 14.28s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 28%|█████████████████▋                                            | 57/200 [09:24<24:59, 10.49s/it] 29%|█████████████████▉                                            | 58/200 [09:37<26:31, 11.21s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 58 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 30%|██████████████████▎                                           | 59/200 [09:42<22:27,  9.56s/it] 30%|██████████████████▌                                           | 60/200 [10:03<29:48, 12.77s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 60 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 30%|██████████████████▉                                           | 61/200 [10:07<23:36, 10.19s/it] 31%|███████████████████▏                                          | 62/200 [10:40<38:50, 16.89s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 62 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 32%|███████████████████▌                                          | 63/200 [10:46<31:14, 13.68s/it] 32%|███████████████████▊                                          | 64/200 [10:49<23:50, 10.52s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 64 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 32%|████████████████████▏                                         | 65/200 [10:52<18:39,  8.29s/it] 33%|████████████████████▍                                         | 66/200 [11:04<20:54,  9.36s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 66 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 34%|████████████████████▊                                         | 67/200 [11:08<17:30,  7.90s/it] 34%|█████████████████████                                         | 68/200 [11:20<19:49,  9.01s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 68 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 34%|█████████████████████▍                                        | 69/200 [11:44<29:25, 13.48s/it] 35%|█████████████████████▋                                        | 70/200 [11:56<28:39, 13.23s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 70 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 36%|██████████████████████                                        | 71/200 [12:04<24:34, 11.43s/it] 36%|██████████████████████▎                                       | 72/200 [12:08<19:46,  9.27s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 72 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 36%|██████████████████████▋                                       | 73/200 [12:24<24:00, 11.34s/it] 37%|██████████████████████▉                                       | 74/200 [12:35<23:25, 11.16s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 74 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 38%|███████████████████████▎                                      | 75/200 [13:09<37:44, 18.12s/it] 38%|███████████████████████▌                                      | 76/200 [13:23<35:00, 16.94s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 76 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 38%|███████████████████████▊                                      | 77/200 [13:38<33:33, 16.37s/it] 39%|████████████████████████▏                                     | 78/200 [13:42<25:41, 12.64s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 78 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 40%|████████████████████████▍                                     | 79/200 [13:59<27:45, 13.76s/it] 40%|████████████████████████▊                                     | 80/200 [14:08<24:46, 12.39s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 80 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 40%|█████████████████████████                                     | 81/200 [14:29<29:39, 14.95s/it] 41%|█████████████████████████▍                                    | 82/200 [14:35<24:08, 12.27s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 82 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 42%|█████████████████████████▋                                    | 83/200 [14:53<27:11, 13.94s/it] 42%|██████████████████████████                                    | 84/200 [15:01<23:58, 12.40s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 84 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 42%|██████████████████████████▎                                   | 85/200 [15:13<23:12, 12.11s/it] 43%|██████████████████████████▋                                   | 86/200 [15:23<22:07, 11.64s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 86 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 44%|██████████████████████████▉                                   | 87/200 [15:29<18:30,  9.82s/it] 44%|███████████████████████████▎                                  | 88/200 [15:31<13:48,  7.40s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 88 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 44%|███████████████████████████▌                                  | 89/200 [15:41<15:30,  8.38s/it] 45%|███████████████████████████▉                                  | 90/200 [15:43<11:33,  6.31s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 90 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 46%|████████████████████████████▏                                 | 91/200 [16:07<20:55, 11.52s/it] 46%|████████████████████████████▌                                 | 92/200 [16:12<17:26,  9.69s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 92 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 46%|████████████████████████████▊                                 | 93/200 [16:25<19:14, 10.79s/it] 47%|█████████████████████████████▏                                | 94/200 [16:43<22:46, 12.89s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 94 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 48%|█████████████████████████████▍                                | 95/200 [16:53<20:50, 11.91s/it] 48%|█████████████████████████████▊                                | 96/200 [17:24<30:46, 17.75s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 96 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 48%|██████████████████████████████                                | 97/200 [17:48<33:42, 19.64s/it] 49%|██████████████████████████████▍                               | 98/200 [17:50<24:09, 14.21s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 98 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 50%|██████████████████████████████▋                               | 99/200 [18:01<22:12, 13.19s/it] 50%|██████████████████████████████▌                              | 100/200 [18:20<24:52, 14.93s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 100 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 50%|██████████████████████████████▊                              | 101/200 [18:24<19:13, 11.66s/it] 51%|███████████████████████████████                              | 102/200 [18:29<15:49,  9.69s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 102 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 52%|███████████████████████████████▍                             | 103/200 [18:40<16:33, 10.24s/it] 52%|███████████████████████████████▋                             | 104/200 [18:58<20:04, 12.55s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 104 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 52%|████████████████████████████████                             | 105/200 [19:09<18:59, 12.00s/it] 53%|████████████████████████████████▎                            | 106/200 [19:29<22:47, 14.55s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 106 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 54%|████████████████████████████████▋                            | 107/200 [19:40<20:51, 13.46s/it] 54%|████████████████████████████████▉                            | 108/200 [19:58<22:24, 14.61s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 108 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 55%|█████████████████████████████████▏                           | 109/200 [20:08<20:19, 13.40s/it] 55%|█████████████████████████████████▌                           | 110/200 [20:10<15:00, 10.01s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 110 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 56%|█████████████████████████████████▊                           | 111/200 [20:24<16:20, 11.01s/it] 56%|██████████████████████████████████▏                          | 112/200 [20:29<13:46,  9.39s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 112 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 56%|██████████████████████████████████▍                          | 113/200 [20:33<11:15,  7.77s/it] 57%|██████████████████████████████████▊                          | 114/200 [20:37<09:33,  6.67s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 114 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 57%|███████████████████████████████████                          | 115/200 [20:53<13:24,  9.46s/it] 58%|███████████████████████████████████▍                         | 116/200 [21:04<13:40,  9.77s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 116 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 58%|███████████████████████████████████▋                         | 117/200 [21:13<13:25,  9.70s/it] 59%|███████████████████████████████████▉                         | 118/200 [21:17<10:40,  7.81s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 118 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 60%|████████████████████████████████████▎                        | 119/200 [21:19<08:29,  6.29s/it] 60%|████████████████████████████████████▌                        | 120/200 [21:30<10:14,  7.68s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 120 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 60%|████████████████████████████████████▉                        | 121/200 [21:44<12:31,  9.52s/it] 61%|█████████████████████████████████████▏                       | 122/200 [21:57<13:43, 10.55s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 122 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 62%|█████████████████████████████████████▌                       | 123/200 [22:04<12:10,  9.49s/it] 62%|█████████████████████████████████████▊                       | 124/200 [22:14<12:02,  9.51s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 124 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 62%|██████████████████████████████████████▏                      | 125/200 [22:30<14:16, 11.42s/it] 63%|██████████████████████████████████████▍                      | 126/200 [22:37<12:28, 10.11s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 126 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 64%|███████████████████████████████████████                      | 128/200 [22:42<07:57,  6.63s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 128 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 64%|███████████████████████████████████████▎                     | 129/200 [22:46<07:13,  6.11s/it] 65%|███████████████████████████████████████▋                     | 130/200 [22:53<07:26,  6.37s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 130 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 66%|███████████████████████████████████████▉                     | 131/200 [23:11<10:48,  9.40s/it] 66%|████████████████████████████████████████▎                    | 132/200 [23:20<10:34,  9.33s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 132 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 66%|████████████████████████████████████████▌                    | 133/200 [23:22<07:58,  7.14s/it] 67%|████████████████████████████████████████▊                    | 134/200 [23:29<07:56,  7.21s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 134 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 68%|█████████████████████████████████████████▏                   | 135/200 [23:55<13:49, 12.76s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [24:01<11:31, 10.81s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 136 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 68%|█████████████████████████████████████████▊                   | 137/200 [24:07<09:39,  9.20s/it] 69%|██████████████████████████████████████████                   | 138/200 [24:10<07:31,  7.29s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 138 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 70%|██████████████████████████████████████████▍                  | 139/200 [24:23<09:19,  9.18s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [24:37<10:29, 10.49s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 140 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 70%|███████████████████████████████████████████                  | 141/200 [24:46<09:50, 10.01s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [24:51<08:16,  8.57s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 142 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 72%|███████████████████████████████████████████▌                 | 143/200 [25:01<08:30,  8.96s/it] 72%|███████████████████████████████████████████▉                 | 144/200 [25:08<07:51,  8.42s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 144 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 72%|████████████████████████████████████████████▏                | 145/200 [25:20<08:45,  9.56s/it] 73%|████████████████████████████████████████████▌                | 146/200 [25:29<08:28,  9.41s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 146 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 74%|████████████████████████████████████████████▊                | 147/200 [25:33<06:46,  7.66s/it] 74%|█████████████████████████████████████████████▏               | 148/200 [25:38<06:07,  7.07s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 148 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 74%|█████████████████████████████████████████████▍               | 149/200 [25:43<05:20,  6.29s/it] 75%|█████████████████████████████████████████████▊               | 150/200 [25:47<04:41,  5.64s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 150 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 76%|██████████████████████████████████████████████               | 151/200 [25:51<04:11,  5.13s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [26:03<05:44,  7.19s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 152 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 76%|██████████████████████████████████████████████▋              | 153/200 [26:09<05:16,  6.74s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [26:14<04:51,  6.35s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 154 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
