Process ID: [2421853] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2421853] | Loading data from ./prompt_response/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2421853] | Loading exist data from ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 0
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:12<42:09, 12.71s/it]  1%|▋                                                              | 2/200 [00:19<30:26,  9.23s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 14%|████████▎                                                     | 27/200 [05:29<30:03, 10.42s/it] 14%|████████▋                                                     | 28/200 [05:35<25:53,  9.03s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 28 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 14%|████████▉                                                     | 29/200 [05:48<28:56, 10.16s/it] 15%|█████████▎                                                    | 30/200 [05:58<28:31, 10.07s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 30 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 16%|█████████▌                                                    | 31/200 [06:12<31:52, 11.32s/it] 16%|█████████▉                                                    | 32/200 [06:21<29:56, 10.69s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 32 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 16%|██████████▏                                                   | 33/200 [06:37<33:52, 12.17s/it] 17%|██████████▌                                                   | 34/200 [06:46<30:45, 11.12s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 34 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 18%|██████████▊                                                   | 35/200 [06:55<29:25, 10.70s/it] 18%|███████████▏                                                  | 36/200 [07:09<31:57, 11.69s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 36 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 18%|███████████▍                                                  | 37/200 [07:19<30:03, 11.06s/it] 19%|███████████▊                                                  | 38/200 [07:32<31:24, 11.63s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 38 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 20%|████████████                                                  | 39/200 [07:41<29:13, 10.89s/it] 20%|████████████▍                                                 | 40/200 [07:52<29:30, 11.07s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 40 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 20%|████████████▋                                                 | 41/200 [08:04<30:03, 11.34s/it] 21%|█████████████                                                 | 42/200 [08:15<29:26, 11.18s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 42 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 22%|█████████████▎                                                | 43/200 [08:26<28:33, 10.91s/it] 22%|█████████████▋                                                | 44/200 [08:35<27:35, 10.61s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 44 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 22%|█████████████▉                                                | 45/200 [08:49<29:24, 11.39s/it] 23%|██████████████▎                                               | 46/200 [08:57<27:11, 10.60s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 46 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 24%|██████████████▌                                               | 47/200 [09:06<25:52, 10.15s/it] 24%|██████████████▉                                               | 48/200 [09:15<24:41,  9.75s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 48 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 24%|███████████████▏                                              | 49/200 [09:27<25:57, 10.31s/it] 25%|███████████████▌                                              | 50/200 [09:37<25:38, 10.26s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 50 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 26%|███████████████▊                                              | 51/200 [09:46<24:13,  9.76s/it] 26%|████████████████                                              | 52/200 [09:52<21:32,  8.73s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 52 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 26%|████████████████▍                                             | 53/200 [10:04<23:41,  9.67s/it] 27%|████████████████▋                                             | 54/200 [10:12<22:22,  9.20s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 54 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 28%|█████████████████                                             | 55/200 [10:22<22:42,  9.40s/it] 28%|█████████████████▎                                            | 56/200 [10:31<22:44,  9.47s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 56 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 28%|█████████████████▋                                            | 57/200 [10:46<26:31, 11.13s/it] 29%|█████████████████▉                                            | 58/200 [10:58<26:46, 11.31s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 58 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 30%|██████████████████▎                                           | 59/200 [11:12<28:13, 12.01s/it] 30%|██████████████████▌                                           | 60/200 [11:21<26:17, 11.27s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 60 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 30%|██████████████████▉                                           | 61/200 [11:30<24:10, 10.43s/it] 31%|███████████████████▏                                          | 62/200 [11:45<27:07, 11.79s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 62 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 32%|███████████████████▌                                          | 63/200 [11:58<27:39, 12.11s/it] 32%|███████████████████▊                                          | 64/200 [12:07<25:18, 11.16s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 64 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 32%|████████████████████▏                                         | 65/200 [12:16<24:04, 10.70s/it] 33%|████████████████████▍                                         | 66/200 [12:25<22:28, 10.06s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 66 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 34%|████████████████████▊                                         | 67/200 [12:34<21:24,  9.66s/it] 34%|█████████████████████                                         | 68/200 [12:41<19:37,  8.92s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 68 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 34%|█████████████████████▍                                        | 69/200 [12:50<19:38,  9.00s/it] 35%|█████████████████████▋                                        | 70/200 [13:06<24:07, 11.14s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 70 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 36%|██████████████████████                                        | 71/200 [13:17<23:37, 10.99s/it] 36%|██████████████████████▎                                       | 72/200 [13:25<21:48, 10.22s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 72 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 36%|██████████████████████▋                                       | 73/200 [13:39<23:43, 11.21s/it] 37%|██████████████████████▉                                       | 74/200 [13:46<21:17, 10.14s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 74 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 38%|███████████████████████▎                                      | 75/200 [13:55<20:06,  9.66s/it] 38%|███████████████████████▌                                      | 76/200 [14:03<19:06,  9.25s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 76 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 38%|███████████████████████▊                                      | 77/200 [14:16<21:29, 10.49s/it] 39%|████████████████████████▏                                     | 78/200 [14:26<20:28, 10.07s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 78 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 40%|████████████████████████▍                                     | 79/200 [14:37<21:20, 10.59s/it] 40%|████████████████████████▊                                     | 80/200 [14:51<23:02, 11.52s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 80 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 40%|█████████████████████████                                     | 81/200 [15:00<21:04, 10.62s/it] 41%|█████████████████████████▍                                    | 82/200 [15:09<19:58, 10.16s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 82 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 42%|█████████████████████████▋                                    | 83/200 [15:18<19:10,  9.83s/it] 42%|██████████████████████████                                    | 84/200 [15:27<18:27,  9.55s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 84 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 42%|██████████████████████████▎                                   | 85/200 [15:36<18:12,  9.50s/it] 43%|██████████████████████████▋                                   | 86/200 [15:48<19:25, 10.23s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 86 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 44%|██████████████████████████▉                                   | 87/200 [16:00<20:15, 10.76s/it] 44%|███████████████████████████▎                                  | 88/200 [16:08<18:20,  9.82s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 88 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 44%|███████████████████████████▌                                  | 89/200 [16:16<17:19,  9.37s/it] 45%|███████████████████████████▉                                  | 90/200 [16:28<18:33, 10.12s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 90 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 46%|████████████████████████████▏                                 | 91/200 [16:39<18:45, 10.33s/it] 46%|████████████████████████████▌                                 | 92/200 [16:48<17:54,  9.95s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 92 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 46%|████████████████████████████▊                                 | 93/200 [16:58<17:44,  9.94s/it] 47%|█████████████████████████████▏                                | 94/200 [17:06<16:47,  9.50s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 94 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 48%|█████████████████████████████▍                                | 95/200 [17:13<15:08,  8.65s/it] 48%|█████████████████████████████▊                                | 96/200 [17:24<16:19,  9.42s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 96 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 48%|██████████████████████████████                                | 97/200 [17:47<22:57, 13.38s/it] 49%|██████████████████████████████▍                               | 98/200 [17:54<19:46, 11.64s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 98 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 50%|██████████████████████████████▋                               | 99/200 [18:05<19:00, 11.30s/it] 50%|██████████████████████████████▌                              | 100/200 [18:18<19:48, 11.89s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 100 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 50%|██████████████████████████████▊                              | 101/200 [18:29<19:26, 11.79s/it] 51%|███████████████████████████████                              | 102/200 [18:37<17:23, 10.65s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 102 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 52%|███████████████████████████████▍                             | 103/200 [18:48<17:15, 10.68s/it] 52%|███████████████████████████████▋                             | 104/200 [19:04<19:38, 12.27s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 104 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 52%|████████████████████████████████                             | 105/200 [19:11<16:41, 10.54s/it] 53%|████████████████████████████████▎                            | 106/200 [19:19<15:33,  9.94s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 106 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 54%|████████████████████████████████▋                            | 107/200 [19:20<11:22,  7.34s/it] 54%|████████████████████████████████▉                            | 108/200 [19:30<12:06,  7.89s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 108 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 55%|█████████████████████████████████▏                           | 109/200 [19:39<12:39,  8.35s/it] 55%|█████████████████████████████████▌                           | 110/200 [19:49<13:03,  8.71s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 110 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 56%|█████████████████████████████████▊                           | 111/200 [19:58<13:24,  9.04s/it] 56%|██████████████████████████████████▏                          | 112/200 [20:12<15:07, 10.31s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 112 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 56%|██████████████████████████████████▍                          | 113/200 [20:13<10:53,  7.51s/it] 57%|██████████████████████████████████▊                          | 114/200 [20:21<11:17,  7.88s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 114 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 57%|███████████████████████████████████                          | 115/200 [20:30<11:18,  7.98s/it] 58%|███████████████████████████████████▍                         | 116/200 [20:43<13:33,  9.68s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 116 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 58%|███████████████████████████████████▋                         | 117/200 [20:53<13:17,  9.61s/it] 59%|███████████████████████████████████▉                         | 118/200 [21:04<13:50, 10.13s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 118 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 60%|████████████████████████████████████▎                        | 119/200 [21:14<13:35, 10.07s/it] 60%|████████████████████████████████████▌                        | 120/200 [21:27<14:25, 10.81s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 120 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 60%|████████████████████████████████████▉                        | 121/200 [21:36<13:43, 10.43s/it] 61%|█████████████████████████████████████▏                       | 122/200 [21:49<14:31, 11.17s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 122 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 62%|█████████████████████████████████████▌                       | 123/200 [21:58<13:32, 10.56s/it] 62%|█████████████████████████████████████▊                       | 124/200 [22:06<12:13,  9.65s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 124 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 62%|██████████████████████████████████████▏                      | 125/200 [22:27<16:22, 13.10s/it] 63%|██████████████████████████████████████▍                      | 126/200 [22:36<14:32, 11.79s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 126 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 64%|██████████████████████████████████████▋                      | 127/200 [22:42<12:18, 10.11s/it] 64%|███████████████████████████████████████                      | 128/200 [22:51<11:56,  9.95s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 128 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 64%|███████████████████████████████████████▎                     | 129/200 [23:00<11:11,  9.46s/it] 65%|███████████████████████████████████████▋                     | 130/200 [23:12<12:05, 10.36s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 130 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 66%|███████████████████████████████████████▉                     | 131/200 [23:24<12:21, 10.74s/it] 66%|████████████████████████████████████████▎                    | 132/200 [23:31<11:03,  9.76s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 132 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 66%|████████████████████████████████████████▌                    | 133/200 [23:41<10:48,  9.68s/it] 67%|████████████████████████████████████████▊                    | 134/200 [23:53<11:34, 10.52s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 134 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 68%|█████████████████████████████████████████▏                   | 135/200 [24:02<10:59, 10.14s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [24:12<10:47, 10.12s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 136 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 68%|█████████████████████████████████████████▊                   | 137/200 [24:27<11:54, 11.35s/it] 69%|██████████████████████████████████████████                   | 138/200 [24:35<10:56, 10.59s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 138 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 70%|██████████████████████████████████████████▍                  | 139/200 [24:48<11:20, 11.16s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [24:57<10:37, 10.62s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 140 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 70%|███████████████████████████████████████████                  | 141/200 [25:13<11:52, 12.08s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [25:23<11:15, 11.64s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 142 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 72%|███████████████████████████████████████████▌                 | 143/200 [25:32<10:10, 10.71s/it] 72%|███████████████████████████████████████████▉                 | 144/200 [25:42<09:43, 10.42s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 144 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 72%|████████████████████████████████████████████▏                | 145/200 [25:52<09:36, 10.49s/it] 73%|████████████████████████████████████████████▌                | 146/200 [26:01<09:02, 10.05s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 146 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 74%|████████████████████████████████████████████▊                | 147/200 [26:18<10:33, 11.96s/it] 74%|█████████████████████████████████████████████▏               | 148/200 [26:31<10:39, 12.29s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 148 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 74%|█████████████████████████████████████████████▍               | 149/200 [26:37<08:49, 10.39s/it] 75%|█████████████████████████████████████████████▊               | 150/200 [26:52<09:47, 11.75s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 150 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 76%|██████████████████████████████████████████████               | 151/200 [27:05<09:57, 12.19s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [27:13<08:40, 10.85s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 152 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 76%|██████████████████████████████████████████████▋              | 153/200 [27:22<08:11, 10.45s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [27:31<07:42, 10.06s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 154 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
