Process ID: [2421854] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/refine-q/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2421854] | Loading data from ./prompt_response/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2421854] | Loading exist data from ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json | Total 2
  0%|                                                                       | 0/198 [00:00<?, ?it/s]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
  1%|▎                                                              | 1/198 [00:09<32:35,  9.93s/it]  1%|▋                                                              | 2/198 [00:20<33:19, 10.20s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 4 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 22%|█████████████▍                                                | 43/198 [07:06<24:15,  9.39s/it] 22%|█████████████▊                                                | 44/198 [07:14<23:02,  8.98s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 46 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 23%|██████████████                                                | 45/198 [07:22<22:06,  8.67s/it] 23%|██████████████▍                                               | 46/198 [07:34<24:44,  9.76s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 48 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 24%|██████████████▋                                               | 47/198 [07:43<23:49,  9.47s/it] 24%|███████████████                                               | 48/198 [07:46<18:34,  7.43s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 50 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 25%|███████████████▎                                              | 49/198 [07:56<20:17,  8.17s/it] 25%|███████████████▋                                              | 50/198 [08:05<20:42,  8.39s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 52 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 26%|███████████████▉                                              | 51/198 [08:06<15:05,  6.16s/it] 26%|████████████████▎                                             | 52/198 [08:19<20:27,  8.41s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 54 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 27%|████████████████▌                                             | 53/198 [08:28<20:55,  8.66s/it] 27%|████████████████▉                                             | 54/198 [08:38<21:32,  8.98s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 56 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 28%|█████████████████▏                                            | 55/198 [08:46<20:41,  8.68s/it] 28%|█████████████████▌                                            | 56/198 [08:56<21:36,  9.13s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 58 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 29%|█████████████████▊                                            | 57/198 [09:10<24:47, 10.55s/it] 29%|██████████████████▏                                           | 58/198 [09:18<22:54,  9.82s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 60 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 30%|██████████████████▍                                           | 59/198 [09:22<18:31,  8.00s/it] 30%|██████████████████▊                                           | 60/198 [09:43<27:28, 11.94s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 62 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 31%|███████████████████                                           | 61/198 [09:49<23:03, 10.10s/it] 31%|███████████████████▍                                          | 62/198 [09:57<21:26,  9.46s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 64 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 32%|███████████████████▋                                          | 63/198 [10:03<19:02,  8.46s/it] 32%|████████████████████                                          | 64/198 [10:10<17:38,  7.90s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 66 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 33%|████████████████████▎                                         | 65/198 [10:16<16:24,  7.40s/it] 33%|████████████████████▋                                         | 66/198 [10:23<15:58,  7.26s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 68 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 34%|████████████████████▉                                         | 67/198 [10:27<13:41,  6.27s/it] 34%|█████████████████████▎                                        | 68/198 [10:35<14:42,  6.79s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 70 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 35%|█████████████████████▌                                        | 69/198 [10:38<12:00,  5.58s/it] 35%|█████████████████████▉                                        | 70/198 [10:49<15:51,  7.43s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 72 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 36%|██████████████████████▏                                       | 71/198 [10:59<17:13,  8.14s/it] 36%|██████████████████████▌                                       | 72/198 [11:04<15:21,  7.31s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 74 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 37%|██████████████████████▊                                       | 73/198 [11:17<18:22,  8.82s/it] 37%|███████████████████████▏                                      | 74/198 [11:27<19:00,  9.20s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 76 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 38%|███████████████████████▍                                      | 75/198 [11:39<20:24,  9.96s/it] 38%|███████████████████████▊                                      | 76/198 [11:47<19:17,  9.49s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 78 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 39%|████████████████████████                                      | 77/198 [11:53<16:45,  8.31s/it] 39%|████████████████████████▍                                     | 78/198 [12:05<18:56,  9.47s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 80 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 40%|████████████████████████▋                                     | 79/198 [12:17<20:11, 10.18s/it] 40%|█████████████████████████                                     | 80/198 [12:30<21:44, 11.06s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 82 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 41%|█████████████████████████▎                                    | 81/198 [12:37<19:38, 10.07s/it] 41%|█████████████████████████▋                                    | 82/198 [12:46<18:34,  9.61s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 84 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 42%|█████████████████████████▉                                    | 83/198 [12:57<18:57,  9.89s/it] 42%|██████████████████████████▎                                   | 84/198 [13:10<20:39, 10.87s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 86 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 43%|██████████████████████████▌                                   | 85/198 [13:11<15:19,  8.13s/it] 43%|██████████████████████████▉                                   | 86/198 [13:20<15:22,  8.24s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 88 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 44%|███████████████████████████▏                                  | 87/198 [13:28<15:17,  8.27s/it] 44%|███████████████████████████▌                                  | 88/198 [13:36<14:36,  7.97s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 90 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 45%|███████████████████████████▊                                  | 89/198 [13:43<14:06,  7.77s/it] 45%|████████████████████████████▏                                 | 90/198 [13:48<12:20,  6.85s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 92 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 46%|████████████████████████████▍                                 | 91/198 [13:58<13:57,  7.83s/it] 46%|████████████████████████████▊                                 | 92/198 [14:10<16:16,  9.21s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 94 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 47%|█████████████████████████████                                 | 93/198 [14:15<13:44,  7.86s/it] 47%|█████████████████████████████▍                                | 94/198 [14:22<13:21,  7.70s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 96 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 48%|█████████████████████████████▋                                | 95/198 [14:35<15:42,  9.15s/it] 48%|██████████████████████████████                                | 96/198 [14:48<17:42, 10.42s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 98 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 49%|██████████████████████████████▎                               | 97/198 [14:55<15:33,  9.24s/it] 49%|██████████████████████████████▋                               | 98/198 [14:55<11:10,  6.70s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 100 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 50%|███████████████████████████████                               | 99/198 [15:12<15:59,  9.69s/it] 51%|██████████████████████████████▊                              | 100/198 [15:18<14:01,  8.58s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 102 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 51%|███████████████████████████████                              | 101/198 [15:25<13:01,  8.06s/it] 52%|███████████████████████████████▍                             | 102/198 [15:31<12:08,  7.59s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 104 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 52%|███████████████████████████████▋                             | 103/198 [15:42<13:23,  8.46s/it] 53%|████████████████████████████████                             | 104/198 [15:50<13:21,  8.53s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 106 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 53%|████████████████████████████████▎                            | 105/198 [16:03<15:07,  9.76s/it] 54%|████████████████████████████████▋                            | 106/198 [16:19<17:49, 11.62s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 108 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 54%|████████████████████████████████▉                            | 107/198 [16:30<17:26, 11.50s/it] 55%|█████████████████████████████████▎                           | 108/198 [16:36<14:45,  9.84s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 110 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 55%|█████████████████████████████████▌                           | 109/198 [16:46<14:31,  9.79s/it] 56%|█████████████████████████████████▉                           | 110/198 [16:54<13:36,  9.28s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 112 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 56%|██████████████████████████████████▏                          | 111/198 [16:55<09:46,  6.75s/it] 57%|██████████████████████████████████▌                          | 112/198 [17:09<12:46,  8.92s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 114 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 57%|██████████████████████████████████▊                          | 113/198 [17:14<10:50,  7.65s/it] 58%|███████████████████████████████████                          | 114/198 [17:28<13:38,  9.75s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 116 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 58%|███████████████████████████████████▍                         | 115/198 [17:38<13:24,  9.70s/it] 59%|███████████████████████████████████▋                         | 116/198 [17:44<11:53,  8.70s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 118 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 59%|████████████████████████████████████                         | 117/198 [17:51<11:08,  8.25s/it] 60%|████████████████████████████████████▎                        | 118/198 [18:01<11:35,  8.69s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 120 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 60%|████████████████████████████████████▋                        | 119/198 [18:10<11:37,  8.82s/it] 61%|████████████████████████████████████▉                        | 120/198 [18:18<10:56,  8.42s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 122 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 61%|█████████████████████████████████████▎                       | 121/198 [18:26<10:50,  8.44s/it] 62%|█████████████████████████████████████▌                       | 122/198 [18:39<12:28,  9.85s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 124 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 62%|█████████████████████████████████████▉                       | 123/198 [18:55<14:39, 11.73s/it] 63%|██████████████████████████████████████▏                      | 124/198 [19:09<15:12, 12.33s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 126 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 63%|██████████████████████████████████████▌                      | 125/198 [19:19<13:58, 11.49s/it] 64%|██████████████████████████████████████▊                      | 126/198 [19:29<13:15, 11.05s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 128 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 64%|███████████████████████████████████████▏                     | 127/198 [19:35<11:20,  9.59s/it] 65%|███████████████████████████████████████▍                     | 128/198 [19:44<10:56,  9.37s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 130 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 65%|███████████████████████████████████████▋                     | 129/198 [19:54<10:55,  9.50s/it] 66%|████████████████████████████████████████                     | 130/198 [20:00<09:35,  8.47s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 132 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 66%|████████████████████████████████████████▎                    | 131/198 [20:13<11:08,  9.97s/it] 67%|████████████████████████████████████████▋                    | 132/198 [20:29<12:53, 11.72s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 134 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 67%|████████████████████████████████████████▉                    | 133/198 [20:46<14:32, 13.42s/it] 68%|█████████████████████████████████████████▎                   | 134/198 [20:48<10:30,  9.86s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 136 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 68%|█████████████████████████████████████████▌                   | 135/198 [20:55<09:21,  8.91s/it] 69%|█████████████████████████████████████████▉                   | 136/198 [21:09<10:58, 10.62s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 138 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 69%|██████████████████████████████████████████▏                  | 137/198 [21:19<10:35, 10.43s/it] 70%|██████████████████████████████████████████▌                  | 138/198 [21:20<07:31,  7.52s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 140 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 70%|██████████████████████████████████████████▊                  | 139/198 [21:28<07:30,  7.63s/it] 71%|███████████████████████████████████████████▏                 | 140/198 [21:39<08:25,  8.72s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 142 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 71%|███████████████████████████████████████████▍                 | 141/198 [21:46<07:45,  8.17s/it] 72%|███████████████████████████████████████████▋                 | 142/198 [21:56<08:09,  8.74s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 144 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 72%|████████████████████████████████████████████                 | 143/198 [22:03<07:31,  8.21s/it] 73%|████████████████████████████████████████████▎                | 144/198 [22:11<07:21,  8.17s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 146 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 73%|████████████████████████████████████████████▋                | 145/198 [22:15<06:09,  6.97s/it] 74%|████████████████████████████████████████████▉                | 146/198 [22:26<06:55,  7.98s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 148 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 74%|█████████████████████████████████████████████▎               | 147/198 [22:27<05:09,  6.07s/it] 75%|█████████████████████████████████████████████▌               | 148/198 [22:34<05:17,  6.35s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 150 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 75%|█████████████████████████████████████████████▉               | 149/198 [22:36<04:04,  4.99s/it] 76%|██████████████████████████████████████████████▏              | 150/198 [22:49<05:53,  7.36s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 152 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 76%|██████████████████████████████████████████████▌              | 151/198 [22:54<05:08,  6.57s/it] 77%|██████████████████████████████████████████████▊              | 152/198 [23:09<07:00,  9.13s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 154 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 77%|███████████████████████████████████████████████▏             | 153/198 [23:23<07:56, 10.59s/it] 78%|███████████████████████████████████████████████▍             | 154/198 [23:35<08:04, 11.01s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 156 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 78%|███████████████████████████████████████████████▊             | 155/198 [23:45<07:39, 10.68s/it] 79%|████████████████████████████████████████████████             | 156/198 [23:57<07:53, 11.28s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 158 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
