Process ID: [2421852] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2421852] | Loading data from ./prompt_response/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2421852] | Loading exist data from ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 0
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:16<55:44, 16.81s/it]  1%|▋                                                              | 2/200 [00:23<35:31, 10.77s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 20%|████████████                                                  | 39/200 [07:49<23:43,  8.84s/it] 20%|████████████▍                                                 | 40/200 [07:59<24:34,  9.21s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 40 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 20%|████████████▋                                                 | 41/200 [08:15<29:34, 11.16s/it] 21%|█████████████                                                 | 42/200 [08:23<26:40, 10.13s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 42 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 22%|█████████████▎                                                | 43/200 [08:32<26:00,  9.94s/it] 22%|█████████████▋                                                | 44/200 [08:46<28:40, 11.03s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 44 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 22%|█████████████▉                                                | 45/200 [08:53<25:31,  9.88s/it] 23%|██████████████▎                                               | 46/200 [09:00<23:05,  8.99s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 46 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 24%|██████████████▌                                               | 47/200 [09:10<23:20,  9.15s/it] 24%|██████████████▉                                               | 48/200 [09:25<28:03, 11.08s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 48 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 24%|███████████████▏                                              | 49/200 [09:45<34:24, 13.67s/it] 25%|███████████████▌                                              | 50/200 [09:48<26:01, 10.41s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 50 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 26%|███████████████▊                                              | 51/200 [09:58<25:29, 10.27s/it] 26%|████████████████                                              | 52/200 [10:09<25:57, 10.53s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 52 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 26%|████████████████▍                                             | 53/200 [10:17<24:10,  9.87s/it] 27%|████████████████▋                                             | 54/200 [10:33<28:09, 11.57s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 54 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 28%|█████████████████                                             | 55/200 [10:41<25:27, 10.53s/it] 28%|█████████████████▎                                            | 56/200 [10:47<22:10,  9.24s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 56 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 28%|█████████████████▋                                            | 57/200 [10:56<21:48,  9.15s/it] 29%|█████████████████▉                                            | 58/200 [11:12<26:17, 11.11s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 58 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 30%|██████████████████▎                                           | 59/200 [11:23<26:06, 11.11s/it] 30%|██████████████████▌                                           | 60/200 [11:30<23:34, 10.11s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 60 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 30%|██████████████████▉                                           | 61/200 [11:43<25:19, 10.93s/it] 31%|███████████████████▏                                          | 62/200 [12:01<29:41, 12.91s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 62 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 32%|███████████████████▌                                          | 63/200 [12:10<26:42, 11.70s/it] 32%|███████████████████▊                                          | 64/200 [12:19<24:58, 11.02s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 64 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 32%|████████████████████▏                                         | 65/200 [12:27<22:36, 10.05s/it] 33%|████████████████████▍                                         | 66/200 [12:37<22:37, 10.13s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 66 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 34%|████████████████████▊                                         | 67/200 [12:45<20:41,  9.34s/it] 34%|█████████████████████                                         | 68/200 [12:56<21:41,  9.86s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 68 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 34%|█████████████████████▍                                        | 69/200 [13:06<22:03, 10.10s/it] 35%|█████████████████████▋                                        | 70/200 [13:18<22:50, 10.54s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 70 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 36%|██████████████████████                                        | 71/200 [13:20<17:26,  8.11s/it] 36%|██████████████████████▎                                       | 72/200 [13:23<13:28,  6.32s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 72 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 36%|██████████████████████▋                                       | 73/200 [13:33<15:55,  7.52s/it] 37%|██████████████████████▉                                       | 74/200 [13:50<21:43, 10.35s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 74 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 38%|███████████████████████▎                                      | 75/200 [14:01<22:12, 10.66s/it] 38%|███████████████████████▌                                      | 76/200 [14:09<20:17,  9.82s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 76 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 38%|███████████████████████▊                                      | 77/200 [14:18<19:27,  9.49s/it] 39%|████████████████████████▏                                     | 78/200 [14:33<22:38, 11.13s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 78 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 40%|████████████████████████▍                                     | 79/200 [14:46<23:44, 11.77s/it] 40%|████████████████████████▊                                     | 80/200 [14:53<20:37, 10.31s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 80 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 40%|█████████████████████████                                     | 81/200 [15:01<19:03,  9.61s/it] 41%|█████████████████████████▍                                    | 82/200 [15:09<17:54,  9.11s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 82 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 42%|█████████████████████████▋                                    | 83/200 [15:18<17:46,  9.12s/it] 42%|██████████████████████████                                    | 84/200 [15:24<15:44,  8.14s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 84 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 42%|██████████████████████████▎                                   | 85/200 [15:34<16:53,  8.81s/it] 43%|██████████████████████████▋                                   | 86/200 [15:43<16:51,  8.87s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 86 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 44%|██████████████████████████▉                                   | 87/200 [15:51<15:56,  8.46s/it] 44%|███████████████████████████▎                                  | 88/200 [16:04<18:24,  9.87s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 88 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 44%|███████████████████████████▌                                  | 89/200 [16:12<17:08,  9.27s/it] 45%|███████████████████████████▉                                  | 90/200 [16:22<17:21,  9.47s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 90 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 46%|████████████████████████████▏                                 | 91/200 [16:31<16:59,  9.35s/it] 46%|████████████████████████████▌                                 | 92/200 [16:42<18:00, 10.01s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 92 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 46%|████████████████████████████▊                                 | 93/200 [16:52<17:38,  9.89s/it] 47%|█████████████████████████████▏                                | 94/200 [17:05<18:53, 10.69s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 94 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 48%|█████████████████████████████▍                                | 95/200 [17:15<18:46, 10.72s/it] 48%|█████████████████████████████▊                                | 96/200 [17:21<15:54,  9.18s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 96 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 48%|██████████████████████████████                                | 97/200 [17:35<18:02, 10.51s/it] 49%|██████████████████████████████▍                               | 98/200 [17:48<19:11, 11.29s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 98 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 50%|██████████████████████████████▋                               | 99/200 [17:58<18:25, 10.95s/it] 50%|██████████████████████████████▌                              | 100/200 [18:08<17:50, 10.70s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 100 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 50%|██████████████████████████████▊                              | 101/200 [18:19<17:53, 10.84s/it] 51%|███████████████████████████████                              | 102/200 [18:26<15:43,  9.63s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 102 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 52%|███████████████████████████████▍                             | 103/200 [18:35<15:09,  9.37s/it] 52%|███████████████████████████████▋                             | 104/200 [18:56<20:43, 12.95s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 104 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 52%|████████████████████████████████                             | 105/200 [19:03<17:42, 11.19s/it] 53%|████████████████████████████████▎                            | 106/200 [19:19<19:58, 12.75s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 106 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 54%|████████████████████████████████▋                            | 107/200 [19:21<14:31,  9.37s/it] 54%|████████████████████████████████▉                            | 108/200 [19:30<14:05,  9.19s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 108 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 55%|█████████████████████████████████▏                           | 109/200 [19:46<17:01, 11.23s/it] 55%|█████████████████████████████████▌                           | 110/200 [19:57<16:41, 11.13s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 110 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 56%|█████████████████████████████████▊                           | 111/200 [20:07<16:02, 10.82s/it] 56%|██████████████████████████████████▏                          | 112/200 [20:18<16:18, 11.12s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 112 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 56%|██████████████████████████████████▍                          | 113/200 [20:27<14:51, 10.25s/it] 57%|██████████████████████████████████▊                          | 114/200 [20:39<15:32, 10.84s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 114 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 57%|███████████████████████████████████                          | 115/200 [20:52<16:08, 11.39s/it] 58%|███████████████████████████████████▍                         | 116/200 [20:59<14:11, 10.13s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 116 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 58%|███████████████████████████████████▋                         | 117/200 [21:05<12:24,  8.97s/it] 59%|███████████████████████████████████▉                         | 118/200 [21:15<12:43,  9.31s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 118 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 60%|████████████████████████████████████▎                        | 119/200 [21:28<13:51, 10.26s/it] 60%|████████████████████████████████████▌                        | 120/200 [21:40<14:22, 10.78s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 120 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 60%|████████████████████████████████████▉                        | 121/200 [21:48<13:04,  9.93s/it] 61%|█████████████████████████████████████▏                       | 122/200 [21:58<13:09, 10.13s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 122 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 62%|█████████████████████████████████████▌                       | 123/200 [22:10<13:41, 10.67s/it] 62%|█████████████████████████████████████▊                       | 124/200 [22:20<13:10, 10.40s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 124 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 62%|██████████████████████████████████████▏                      | 125/200 [22:32<13:30, 10.81s/it] 63%|██████████████████████████████████████▍                      | 126/200 [22:39<12:04,  9.79s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 126 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 64%|██████████████████████████████████████▋                      | 127/200 [22:40<08:43,  7.17s/it] 64%|███████████████████████████████████████                      | 128/200 [22:49<09:06,  7.59s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 128 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 64%|███████████████████████████████████████▎                     | 129/200 [22:57<09:13,  7.79s/it] 65%|███████████████████████████████████████▋                     | 130/200 [23:07<10:01,  8.59s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 130 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 66%|███████████████████████████████████████▉                     | 131/200 [23:16<10:01,  8.72s/it] 66%|████████████████████████████████████████▎                    | 132/200 [23:25<09:41,  8.56s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 132 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 66%|████████████████████████████████████████▌                    | 133/200 [23:33<09:31,  8.53s/it] 67%|████████████████████████████████████████▊                    | 134/200 [23:45<10:33,  9.60s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 134 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 68%|█████████████████████████████████████████▏                   | 135/200 [23:58<11:26, 10.56s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [24:09<11:28, 10.76s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 136 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 68%|█████████████████████████████████████████▊                   | 137/200 [24:20<11:11, 10.66s/it] 69%|██████████████████████████████████████████                   | 138/200 [24:31<11:10, 10.82s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 138 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 70%|██████████████████████████████████████████▍                  | 139/200 [24:39<10:06,  9.94s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [24:41<07:31,  7.52s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 140 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 70%|███████████████████████████████████████████                  | 141/200 [24:50<07:55,  8.07s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [25:00<08:15,  8.54s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 142 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 72%|███████████████████████████████████████████▌                 | 143/200 [25:21<11:42, 12.33s/it] 72%|███████████████████████████████████████████▉                 | 144/200 [25:22<08:22,  8.97s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 144 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 72%|████████████████████████████████████████████▏                | 145/200 [25:34<09:05,  9.92s/it] 73%|████████████████████████████████████████████▌                | 146/200 [25:42<08:21,  9.29s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 146 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 74%|████████████████████████████████████████████▊                | 147/200 [25:47<07:10,  8.12s/it] 74%|█████████████████████████████████████████████▏               | 148/200 [25:59<08:00,  9.25s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 148 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 74%|█████████████████████████████████████████████▍               | 149/200 [26:13<08:59, 10.57s/it] 75%|█████████████████████████████████████████████▊               | 150/200 [26:24<09:04, 10.89s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 150 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 76%|██████████████████████████████████████████████               | 151/200 [26:25<06:27,  7.90s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [26:36<06:59,  8.74s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 152 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 76%|██████████████████████████████████████████████▋              | 153/200 [26:45<06:59,  8.93s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [26:54<06:41,  8.72s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 154 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
