Process ID: [2421856] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/model_detailed/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2421856] | Loading data from ./prompt_response/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2421856] | Loading exist data from ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 14
  0%|                                                                       | 0/186 [00:00<?, ?it/s]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 14 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  1%|▎                                                              | 1/186 [00:13<40:14, 13.05s/it]  1%|▋                                                              | 2/186 [00:22<32:37, 10.64s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 16 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 12%|███████▋                                                      | 23/186 [04:28<29:52, 10.99s/it] 13%|████████                                                      | 24/186 [04:36<27:40, 10.25s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 38 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 13%|████████▎                                                     | 25/186 [04:51<31:13, 11.64s/it] 14%|████████▋                                                     | 26/186 [05:01<29:20, 11.00s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 40 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 15%|█████████                                                     | 27/186 [05:08<26:21,  9.94s/it] 15%|█████████▎                                                    | 28/186 [05:13<22:10,  8.42s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 42 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 16%|█████████▋                                                    | 29/186 [05:28<26:56, 10.30s/it] 16%|██████████                                                    | 30/186 [05:34<23:34,  9.06s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 44 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 17%|██████████▎                                                   | 31/186 [05:47<26:09, 10.13s/it] 17%|██████████▋                                                   | 32/186 [05:52<22:23,  8.72s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 46 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 18%|███████████                                                   | 33/186 [06:01<22:22,  8.77s/it] 18%|███████████▎                                                  | 34/186 [06:08<20:56,  8.27s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 48 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 19%|███████████▋                                                  | 35/186 [06:19<22:36,  8.98s/it] 19%|████████████                                                  | 36/186 [06:21<17:20,  6.94s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 50 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 20%|████████████▎                                                 | 37/186 [06:29<18:16,  7.36s/it] 20%|████████████▋                                                 | 38/186 [06:38<19:04,  7.73s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 52 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 21%|█████████████                                                 | 39/186 [06:44<17:52,  7.29s/it] 22%|█████████████▎                                                | 40/186 [06:54<19:39,  8.08s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 54 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 22%|█████████████▋                                                | 41/186 [07:03<20:10,  8.35s/it] 23%|██████████████                                                | 42/186 [07:16<23:10,  9.66s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 56 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 23%|██████████████▎                                               | 43/186 [07:27<24:07, 10.12s/it] 24%|██████████████▋                                               | 44/186 [07:38<24:21, 10.29s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 58 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 24%|███████████████                                               | 45/186 [07:46<22:40,  9.65s/it] 25%|███████████████▎                                              | 46/186 [08:00<25:48, 11.06s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 60 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 25%|███████████████▋                                              | 47/186 [08:05<21:13,  9.16s/it] 26%|████████████████                                              | 48/186 [08:15<21:50,  9.50s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 62 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 26%|████████████████▎                                             | 49/186 [08:24<21:21,  9.35s/it] 27%|████████████████▋                                             | 50/186 [08:26<16:13,  7.16s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 64 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 27%|█████████████████                                             | 51/186 [08:28<12:38,  5.62s/it] 28%|█████████████████▎                                            | 52/186 [08:39<16:06,  7.22s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 66 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 28%|█████████████████▋                                            | 53/186 [08:49<17:37,  7.95s/it] 29%|██████████████████                                            | 54/186 [08:58<18:06,  8.23s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 68 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 30%|██████████████████▎                                           | 55/186 [09:07<18:39,  8.55s/it] 30%|██████████████████▋                                           | 56/186 [09:26<25:06, 11.59s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 70 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 31%|███████████████████                                           | 57/186 [09:31<20:55,  9.73s/it] 31%|███████████████████▎                                          | 58/186 [09:39<19:36,  9.19s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 72 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 32%|███████████████████▋                                          | 59/186 [09:48<19:21,  9.15s/it] 32%|████████████████████                                          | 60/186 [09:57<19:12,  9.14s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 74 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 33%|████████████████████▎                                         | 61/186 [10:07<19:36,  9.42s/it] 33%|████████████████████▋                                         | 62/186 [10:18<20:01,  9.69s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 76 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 34%|█████████████████████                                         | 63/186 [10:19<14:37,  7.13s/it] 34%|█████████████████████▎                                        | 64/186 [10:25<14:08,  6.95s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 78 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 35%|█████████████████████▋                                        | 65/186 [10:32<14:13,  7.05s/it] 35%|██████████████████████                                        | 66/186 [10:44<16:28,  8.24s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 80 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 36%|██████████████████████▎                                       | 67/186 [10:53<16:54,  8.52s/it] 37%|██████████████████████▋                                       | 68/186 [11:07<20:08, 10.24s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 82 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 37%|███████████████████████                                       | 69/186 [11:16<19:08,  9.82s/it] 38%|███████████████████████▎                                      | 70/186 [11:25<18:41,  9.67s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 84 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 38%|███████████████████████▋                                      | 71/186 [11:30<15:49,  8.26s/it] 39%|████████████████████████                                      | 72/186 [11:39<15:50,  8.34s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 86 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 39%|████████████████████████▎                                     | 73/186 [11:49<16:47,  8.91s/it] 40%|████████████████████████▋                                     | 74/186 [11:57<16:02,  8.59s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 88 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 40%|█████████████████████████                                     | 75/186 [12:07<16:52,  9.12s/it] 41%|█████████████████████████▎                                    | 76/186 [12:14<15:18,  8.35s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 90 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 41%|█████████████████████████▋                                    | 77/186 [12:26<17:25,  9.59s/it] 42%|██████████████████████████                                    | 78/186 [12:38<18:24, 10.23s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 92 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 42%|██████████████████████████▎                                   | 79/186 [12:46<17:16,  9.69s/it] 43%|██████████████████████████▋                                   | 80/186 [12:54<16:11,  9.16s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 94 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 44%|███████████████████████████                                   | 81/186 [13:04<16:34,  9.47s/it] 44%|███████████████████████████▎                                  | 82/186 [13:12<15:30,  8.95s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 96 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 45%|███████████████████████████▋                                  | 83/186 [13:22<15:53,  9.26s/it] 45%|████████████████████████████                                  | 84/186 [13:33<16:29,  9.70s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 98 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 46%|████████████████████████████▎                                 | 85/186 [13:50<20:02, 11.91s/it] 46%|████████████████████████████▋                                 | 86/186 [13:51<14:21,  8.61s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 100 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 47%|█████████████████████████████                                 | 87/186 [14:05<16:47, 10.18s/it] 47%|█████████████████████████████▎                                | 88/186 [14:09<13:50,  8.47s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 102 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 48%|█████████████████████████████▋                                | 89/186 [14:21<15:13,  9.42s/it] 48%|██████████████████████████████                                | 90/186 [14:30<14:45,  9.22s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 104 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 49%|██████████████████████████████▎                               | 91/186 [14:36<13:05,  8.27s/it] 49%|██████████████████████████████▋                               | 92/186 [14:45<13:20,  8.52s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 106 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 50%|███████████████████████████████                               | 93/186 [14:52<12:34,  8.12s/it] 51%|███████████████████████████████▎                              | 94/186 [14:59<11:49,  7.71s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 108 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 51%|███████████████████████████████▋                              | 95/186 [15:06<11:45,  7.75s/it] 52%|████████████████████████████████                              | 96/186 [15:12<10:28,  6.98s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 110 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 52%|████████████████████████████████▎                             | 97/186 [15:21<11:16,  7.61s/it] 53%|████████████████████████████████▋                             | 98/186 [15:27<10:46,  7.34s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 112 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 53%|█████████████████████████████████                             | 99/186 [15:34<10:12,  7.04s/it] 54%|████████████████████████████████▊                            | 100/186 [15:45<11:46,  8.21s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 114 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 54%|█████████████████████████████████                            | 101/186 [15:51<10:40,  7.54s/it] 55%|█████████████████████████████████▍                           | 102/186 [16:03<12:28,  8.91s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 116 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 55%|█████████████████████████████████▊                           | 103/186 [16:10<11:27,  8.28s/it] 56%|██████████████████████████████████                           | 104/186 [16:18<11:15,  8.24s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 118 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 56%|██████████████████████████████████▍                          | 105/186 [16:19<08:21,  6.20s/it] 57%|██████████████████████████████████▊                          | 106/186 [16:31<10:31,  7.90s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 120 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 58%|███████████████████████████████████                          | 107/186 [16:44<12:32,  9.52s/it] 58%|███████████████████████████████████▍                         | 108/186 [16:55<12:46,  9.83s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 122 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 59%|███████████████████████████████████▋                         | 109/186 [17:04<12:18,  9.59s/it] 59%|████████████████████████████████████                         | 110/186 [17:13<11:59,  9.47s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 124 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 60%|████████████████████████████████████▍                        | 111/186 [17:23<12:06,  9.69s/it] 60%|████████████████████████████████████▋                        | 112/186 [17:38<13:46, 11.17s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 126 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 61%|█████████████████████████████████████                        | 113/186 [17:39<09:51,  8.10s/it] 61%|█████████████████████████████████████▍                       | 114/186 [17:54<12:08, 10.11s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 128 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 62%|█████████████████████████████████████▋                       | 115/186 [18:04<11:58, 10.12s/it] 62%|██████████████████████████████████████                       | 116/186 [18:21<14:07, 12.11s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 130 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 63%|██████████████████████████████████████▎                      | 117/186 [18:37<15:34, 13.55s/it] 63%|██████████████████████████████████████▋                      | 118/186 [18:48<14:10, 12.51s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 132 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 64%|███████████████████████████████████████                      | 119/186 [19:03<14:58, 13.42s/it] 65%|███████████████████████████████████████▎                     | 120/186 [19:16<14:26, 13.13s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 134 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 65%|███████████████████████████████████████▋                     | 121/186 [19:25<12:52, 11.89s/it] 66%|████████████████████████████████████████                     | 122/186 [19:33<11:28, 10.76s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 136 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 66%|████████████████████████████████████████▎                    | 123/186 [19:39<09:52,  9.40s/it] 67%|████████████████████████████████████████▋                    | 124/186 [19:49<10:00,  9.69s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 138 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 67%|████████████████████████████████████████▉                    | 125/186 [19:56<09:05,  8.94s/it] 68%|█████████████████████████████████████████▎                   | 126/186 [20:06<08:59,  9.00s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 140 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 68%|█████████████████████████████████████████▋                   | 127/186 [20:16<09:17,  9.44s/it] 69%|█████████████████████████████████████████▉                   | 128/186 [20:27<09:27,  9.78s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 142 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 69%|██████████████████████████████████████████▎                  | 129/186 [20:34<08:43,  9.18s/it] 70%|██████████████████████████████████████████▋                  | 130/186 [20:46<09:21, 10.02s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 144 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 70%|██████████████████████████████████████████▉                  | 131/186 [20:52<07:51,  8.56s/it] 71%|███████████████████████████████████████████▎                 | 132/186 [21:00<07:46,  8.64s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 146 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 72%|███████████████████████████████████████████▌                 | 133/186 [21:05<06:26,  7.29s/it] 72%|███████████████████████████████████████████▉                 | 134/186 [21:19<08:10,  9.44s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 148 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 73%|████████████████████████████████████████████▎                | 135/186 [21:25<07:02,  8.29s/it] 73%|████████████████████████████████████████████▌                | 136/186 [21:39<08:33, 10.26s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 150 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 74%|████████████████████████████████████████████▉                | 137/186 [21:48<08:02,  9.84s/it] 74%|█████████████████████████████████████████████▎               | 138/186 [21:56<07:20,  9.18s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 152 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 75%|█████████████████████████████████████████████▌               | 139/186 [22:10<08:16, 10.57s/it] 75%|█████████████████████████████████████████████▉               | 140/186 [22:16<07:11,  9.37s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 154 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 76%|██████████████████████████████████████████████▏              | 141/186 [22:27<07:17,  9.71s/it] 76%|██████████████████████████████████████████████▌              | 142/186 [22:37<07:16,  9.91s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 156 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 77%|██████████████████████████████████████████████▉              | 143/186 [22:49<07:24, 10.34s/it] 77%|███████████████████████████████████████████████▏             | 144/186 [22:54<06:06,  8.73s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 158 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 78%|███████████████████████████████████████████████▌             | 145/186 [23:00<05:33,  8.13s/it] 78%|███████████████████████████████████████████████▉             | 146/186 [23:09<05:28,  8.21s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 160 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 79%|████████████████████████████████████████████████▏            | 147/186 [23:16<05:07,  7.89s/it] 80%|████████████████████████████████████████████████▌            | 148/186 [23:30<06:09,  9.72s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 162 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 80%|████████████████████████████████████████████████▊            | 149/186 [23:35<05:05,  8.24s/it] 81%|█████████████████████████████████████████████████▏           | 150/186 [23:43<05:01,  8.37s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 164 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 81%|█████████████████████████████████████████████████▌           | 151/186 [23:58<05:55, 10.16s/it] 82%|█████████████████████████████████████████████████▊           | 152/186 [24:08<05:43, 10.11s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 166 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 82%|██████████████████████████████████████████████████▏          | 153/186 [24:20<05:53, 10.71s/it] 83%|██████████████████████████████████████████████████▌          | 154/186 [24:29<05:26, 10.19s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 168 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 83%|██████████████████████████████████████████████████▊          | 155/186 [24:31<04:03,  7.86s/it] 84%|███████████████████████████████████████████████████▏         | 156/186 [24:42<04:23,  8.78s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 170 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
