Process ID: [2342247] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./ir_response_pure/response-10/llama-2-7b-chat-hf
    save_dir: ./fact/response-10/llama-2-7b-chat-hf
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2342247] | Loading data from ./ir_response_pure/response-10/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:10<34:20, 10.35s/it]  1%|▋                                                              | 2/200 [00:17<27:20,  8.28s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 36%|██████████████████████▋                                       | 73/200 [10:28<16:18,  7.71s/it] 37%|██████████████████████▉                                       | 74/200 [10:35<15:42,  7.48s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 74 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 38%|███████████████████████▎                                      | 75/200 [10:42<14:49,  7.12s/it] 38%|███████████████████████▌                                      | 76/200 [10:54<18:16,  8.84s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 76 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 38%|███████████████████████▊                                      | 77/200 [11:02<17:08,  8.37s/it] 39%|████████████████████████▏                                     | 78/200 [11:14<19:12,  9.45s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 78 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 40%|████████████████████████▍                                     | 79/200 [11:19<16:28,  8.17s/it] 40%|████████████████████████▊                                     | 80/200 [11:25<15:17,  7.64s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 80 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 40%|█████████████████████████                                     | 81/200 [11:33<15:08,  7.63s/it] 41%|█████████████████████████▍                                    | 82/200 [11:40<14:43,  7.49s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 82 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 42%|█████████████████████████▋                                    | 83/200 [11:47<14:32,  7.45s/it] 42%|██████████████████████████                                    | 84/200 [11:55<14:31,  7.51s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 84 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 42%|██████████████████████████▎                                   | 85/200 [12:03<14:33,  7.60s/it] 43%|██████████████████████████▋                                   | 86/200 [12:10<14:00,  7.37s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 86 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 44%|██████████████████████████▉                                   | 87/200 [12:21<16:02,  8.52s/it] 44%|███████████████████████████▎                                  | 88/200 [12:26<14:08,  7.58s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 88 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 44%|███████████████████████████▌                                  | 89/200 [12:34<14:20,  7.75s/it] 45%|███████████████████████████▉                                  | 90/200 [12:40<13:16,  7.24s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 90 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 46%|████████████████████████████▏                                 | 91/200 [12:48<13:16,  7.31s/it] 46%|████████████████████████████▌                                 | 92/200 [12:49<09:47,  5.44s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 92 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 46%|████████████████████████████▊                                 | 93/200 [13:39<33:16, 18.66s/it] 47%|█████████████████████████████▏                                | 94/200 [13:52<30:19, 17.16s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 94 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 48%|█████████████████████████████▍                                | 95/200 [13:57<23:40, 13.53s/it] 48%|█████████████████████████████▊                                | 96/200 [14:06<20:49, 12.01s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 96 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 48%|██████████████████████████████                                | 97/200 [14:17<20:15, 11.80s/it] 49%|██████████████████████████████▍                               | 98/200 [14:26<18:38, 10.97s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 98 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 50%|██████████████████████████████▋                               | 99/200 [14:34<17:02, 10.12s/it] 50%|██████████████████████████████▌                              | 100/200 [14:40<14:51,  8.91s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 100 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 50%|██████████████████████████████▊                              | 101/200 [14:47<13:47,  8.35s/it] 51%|███████████████████████████████                              | 102/200 [14:57<14:11,  8.69s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 102 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 52%|███████████████████████████████▍                             | 103/200 [15:01<11:56,  7.38s/it] 52%|███████████████████████████████▋                             | 104/200 [15:08<11:41,  7.31s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 104 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 52%|████████████████████████████████                             | 105/200 [15:15<11:27,  7.23s/it] 53%|████████████████████████████████▎                            | 106/200 [15:21<10:30,  6.71s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 106 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 54%|████████████████████████████████▋                            | 107/200 [15:28<10:25,  6.73s/it] 54%|████████████████████████████████▉                            | 108/200 [15:37<11:44,  7.66s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 108 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 55%|█████████████████████████████████▏                           | 109/200 [15:42<10:11,  6.72s/it] 55%|█████████████████████████████████▌                           | 110/200 [15:49<10:02,  6.69s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 110 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 56%|█████████████████████████████████▊                           | 111/200 [15:56<10:15,  6.92s/it] 56%|██████████████████████████████████▏                          | 112/200 [16:07<11:46,  8.02s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 112 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 56%|██████████████████████████████████▍                          | 113/200 [16:08<08:35,  5.92s/it] 57%|██████████████████████████████████▊                          | 114/200 [16:17<10:04,  7.03s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 114 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 57%|███████████████████████████████████                          | 115/200 [16:22<09:01,  6.37s/it] 58%|███████████████████████████████████▍                         | 116/200 [16:33<10:42,  7.65s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 116 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 58%|███████████████████████████████████▋                         | 117/200 [16:34<07:47,  5.64s/it] 59%|███████████████████████████████████▉                         | 118/200 [16:42<08:59,  6.57s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 118 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 60%|████████████████████████████████████▎                        | 119/200 [16:57<11:55,  8.84s/it] 60%|████████████████████████████████████▌                        | 120/200 [17:06<11:53,  8.92s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 120 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 60%|████████████████████████████████████▉                        | 121/200 [17:13<11:03,  8.40s/it] 61%|█████████████████████████████████████▏                       | 122/200 [17:14<07:59,  6.14s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 122 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 62%|█████████████████████████████████████▌                       | 123/200 [17:22<08:43,  6.80s/it] 62%|█████████████████████████████████████▊                       | 124/200 [17:27<08:06,  6.40s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 124 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 62%|██████████████████████████████████████▏                      | 125/200 [17:34<08:02,  6.44s/it] 63%|██████████████████████████████████████▍                      | 126/200 [17:41<08:15,  6.70s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 126 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 64%|██████████████████████████████████████▋                      | 127/200 [17:47<07:48,  6.42s/it] 64%|███████████████████████████████████████                      | 128/200 [17:48<05:50,  4.87s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 128 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 64%|███████████████████████████████████████▎                     | 129/200 [18:03<09:08,  7.73s/it] 65%|███████████████████████████████████████▋                     | 130/200 [18:14<10:15,  8.80s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 130 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 66%|███████████████████████████████████████▉                     | 131/200 [18:21<09:19,  8.11s/it] 66%|████████████████████████████████████████▎                    | 132/200 [18:27<08:32,  7.54s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 132 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 66%|████████████████████████████████████████▌                    | 133/200 [18:35<08:35,  7.69s/it] 67%|████████████████████████████████████████▊                    | 134/200 [18:47<09:51,  8.96s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 134 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 68%|█████████████████████████████████████████▏                   | 135/200 [18:57<10:02,  9.26s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [18:58<07:24,  6.95s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 136 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 68%|█████████████████████████████████████████▊                   | 137/200 [19:09<08:37,  8.22s/it] 69%|██████████████████████████████████████████                   | 138/200 [19:24<10:19,  9.98s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 138 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 70%|██████████████████████████████████████████▍                  | 139/200 [19:31<09:19,  9.17s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [19:38<08:27,  8.45s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 140 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 70%|███████████████████████████████████████████                  | 141/200 [19:48<08:51,  9.01s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [19:58<09:02,  9.36s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 142 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 72%|███████████████████████████████████████████▌                 | 143/200 [20:05<08:07,  8.54s/it] 72%|███████████████████████████████████████████▉                 | 144/200 [20:06<05:49,  6.25s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 144 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 72%|████████████████████████████████████████████▏                | 145/200 [20:12<05:39,  6.17s/it] 73%|████████████████████████████████████████████▌                | 146/200 [20:18<05:42,  6.34s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 146 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 74%|████████████████████████████████████████████▊                | 147/200 [20:27<06:19,  7.16s/it] 74%|█████████████████████████████████████████████▏               | 148/200 [20:44<08:46, 10.12s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 148 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 74%|█████████████████████████████████████████████▍               | 149/200 [20:49<07:11,  8.46s/it] 75%|█████████████████████████████████████████████▊               | 150/200 [21:00<07:34,  9.10s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 150 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 76%|██████████████████████████████████████████████               | 151/200 [21:02<05:51,  7.18s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [21:08<05:23,  6.73s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 152 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 76%|██████████████████████████████████████████████▋              | 153/200 [21:14<05:11,  6.62s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [21:29<06:48,  8.88s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 154 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 78%|███████████████████████████████████████████████▎             | 155/200 [21:34<05:57,  7.95s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [21:47<06:51,  9.35s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 156 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 78%|███████████████████████████████████████████████▉             | 157/200 [21:55<06:27,  9.01s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [22:05<06:23,  9.14s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 158 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 80%|████████████████████████████████████████████████▍            | 159/200 [22:11<05:36,  8.20s/it] 80%|████████████████████████████████████████████████▊            | 160/200 [22:18<05:22,  8.05s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 160 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 80%|█████████████████████████████████████████████████            | 161/200 [22:27<05:20,  8.22s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [22:34<04:59,  7.89s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 162 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 82%|█████████████████████████████████████████████████▋           | 163/200 [22:39<04:19,  7.02s/it] 82%|██████████████████████████████████████████████████           | 164/200 [22:45<04:05,  6.82s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 164 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 82%|██████████████████████████████████████████████████▎          | 165/200 [22:56<04:37,  7.94s/it] 83%|██████████████████████████████████████████████████▋          | 166/200 [23:05<04:37,  8.17s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 166 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [23:12<04:22,  7.95s/it] 84%|███████████████████████████████████████████████████▏         | 168/200 [23:17<03:46,  7.08s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 168 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
